account_id,bank_id,owner_id,owner_type,balance
acct_000001,bank_01,merchant_0001,merchant,896.35
acct_000002,bank_01,merchant_0002,merchant,1099.06
acct_000003,bank_01,merchant_0003,merchant,1546.23
acct_000006,bank_01,merchant_0006,merchant,1034.51
acct_00000e,bank_01,merchant_0014,merchant,3205.13
acct_000010,bank_01,person_00001,person,2485.91
acct_000017,bank_01,person_00008,person,1080.17
acct_00001b,bank_01,person_00012,person,362.83
acct_00001c,bank_01,person_00013,person,525.61
acct_000023,bank_01,person_00020,person,637.29
acct_000025,bank_01,person_00022,person,934.0
acct_000004,bank_02,merchant_0004,merchant,1145.14
acct_000007,bank_02,merchant_0007,merchant,2416.38
acct_000008,bank_02,merchant_0008,merchant,499.52
acct_00000b,bank_02,merchant_0011,merchant,3575.06
acct_00000d,bank_02,merchant_0013,merchant,686.8
acct_000011,bank_02,person_00002,person,2841.76
acct_000012,bank_02,person_00003,person,3242.55
acct_000015,bank_02,person_00006,person,2411.83
acct_000016,bank_02,person_00007,person,3196.57
acct_000018,bank_02,person_00009,person,2625.54
acct_00001d,bank_02,person_00014,person,1971.32
acct_00001e,bank_02,person_00015,person,6171.47
acct_000020,bank_02,person_00017,person,1239.41
acct_000024,bank_02,person_00021,person,2747.44
acct_000028,bank_02,person_00025,person,1495.04
acct_000005,bank_03,merchant_0005,merchant,2081.07
acct_000009,bank_03,merchant_0009,merchant,3450.8
acct_00000a,bank_03,merchant_0010,merchant,665.71
acct_00000c,bank_03,merchant_0012,merchant,601.1
acct_00000f,bank_03,merchant_0015,merchant,773.21
acct_000013,bank_03,person_00004,person,3395.97
acct_000014,bank_03,person_00005,person,2217.69
acct_000019,bank_03,person_00010,person,5857.43
acct_00001a,bank_03,person_00011,person,2711.46
acct_00001f,bank_03,person_00016,person,1496.94
acct_000021,bank_03,person_00018,person,329.46
acct_000022,bank_03,person_00019,person,3067.33
acct_000026,bank_03,person_00023,person,166.93
acct_000027,bank_03,person_00024,person,2275.82
