event_id,event_type,subject_id,occurred_at,payload
evt_00000001,salary_received,employer:person_00002,2026-01-01T16:08:13+00:00,"{""amount"": 2651.91, ""balance_before"": 2096.81, ""from_id"": ""employer:person_00002"", ""to_id"": ""person_00002"", ""transaction_id"": ""txn_00000001""}"
evt_00000002,purchase_succeeded,person_00009,2026-01-01T13:57:36+00:00,"{""amount"": 34.23, ""balance_before"": 3344.75, ""from_id"": ""person_00009"", ""to_id"": ""merchant_0001"", ""transaction_id"": ""txn_00000002""}"
evt_00000003,purchase_succeeded,person_00015,2026-01-01T20:37:12+00:00,"{""amount"": 85.04, ""balance_before"": 2404.02, ""from_id"": ""person_00015"", ""to_id"": ""merchant_0010"", ""transaction_id"": ""txn_00000003""}"
evt_00000004,purchase_succeeded,person_00020,2026-01-01T07:10:12+00:00,"{""amount"": 154.77, ""balance_before"": 1042.91, ""from_id"": ""person_00020"", ""to_id"": ""merchant_0005"", ""transaction_id"": ""txn_00000004""}"
evt_00000005,purchase_succeeded,person_00024,2026-01-01T19:59:35+00:00,"{""amount"": 191.35, ""balance_before"": 3448.75, ""from_id"": ""person_00024"", ""to_id"": ""merchant_0002"", ""transaction_id"": ""txn_00000005""}"
evt_00000006,purchase_succeeded,person_00005,2026-01-02T12:58:34+00:00,"{""amount"": 574.95, ""balance_before"": 3542.4, ""from_id"": ""person_00005"", ""to_id"": ""merchant_0003"", ""transaction_id"": ""txn_00000006""}"
evt_00000007,purchase_succeeded,person_00006,2026-01-02T15:23:21+00:00,"{""amount"": 238.95, ""balance_before"": 1147.98, ""from_id"": ""person_00006"", ""to_id"": ""merchant_0014"", ""transaction_id"": ""txn_00000007""}"
evt_00000008,purchase_succeeded,person_00007,2026-01-02T22:08:37+00:00,"{""amount"": 284.13, ""balance_before"": 4499.62, ""from_id"": ""person_00007"", ""to_id"": ""merchant_0010"", ""transaction_id"": ""txn_00000008""}"
evt_00000009,purchase_succeeded,person_00009,2026-01-02T11:53:08+00:00,"{""amount"": 24.78, ""balance_before"": 3310.52, ""from_id"": ""person_00009"", ""to_id"": ""merchant_0014"", ""transaction_id"": ""txn_00000009""}"
evt_0000000a,purchase_succeeded,person_00013,2026-01-02T15:23:57+00:00,"{""amount"": 116.57, ""balance_before"": 1921.58, ""from_id"": ""person_00013"", ""to_id"": ""merchant_0002"", ""transaction_id"": ""txn_0000000a""}"
evt_0000000b,purchase_succeeded,person_00016,2026-01-02T16:00:39+00:00,"{""amount"": 231.32, ""balance_before"": 1998.47, ""from_id"": ""person_00016"", ""to_id"": ""merchant_0001"", ""transaction_id"": ""txn_0000000b""}"
evt_0000000c,purchase_succeeded,person_00018,2026-01-02T13:15:50+00:00,"{""amount"": 92.5, ""balance_before"": 1205.86, ""from_id"": ""person_00018"", ""to_id"": ""merchant_0001"", ""transaction_id"": ""txn_0000000c""}"
evt_0000000d,purchase_succeeded,person_00021,2026-01-02T10:27:58+00:00,"{""amount"": 42.18, ""balance_before"": 989.79, ""from_id"": ""person_00021"", ""to_id"": ""merchant_0012"", ""transaction_id"": ""txn_0000000d""}"
evt_0000000e,purchase_succeeded,person_00004,2026-01-03T16:46:38+00:00,"{""amount"": 64.35, ""balance_before"": 1852.18, ""from_id"": ""person_00004"", ""to_id"": ""merchant_0013"", ""transaction_id"": ""txn_0000000e""}"
evt_0000000f,purchase_succeeded,person_00007,2026-01-03T21:07:16+00:00,"{""amount"": 57.14, ""balance_before"": 4215.49, ""from_id"": ""person_00007"", ""to_id"": ""merchant_0010"", ""transaction_id"": ""txn_0000000f""}"
evt_00000010,purchase_succeeded,person_00008,2026-01-03T22:42:22+00:00,"{""amount"": 323.39, ""balance_before"": 2303.84, ""from_id"": ""person_00008"", ""to_id"": ""merchant_0009"", ""transaction_id"": ""txn_00000010""}"
evt_00000011,purchase_succeeded,person_00009,2026-01-03T18:05:52+00:00,"{""amount"": 236.48, ""balance_before"": 3285.74, ""from_id"": ""person_00009"", ""to_id"": ""merchant_0004"", ""transaction_id"": ""txn_00000011""}"
evt_00000012,purchase_succeeded,person_00017,2026-01-03T16:15:21+00:00,"{""amount"": 80.77, ""balance_before"": 1808.15, ""from_id"": ""person_00017"", ""to_id"": ""merchant_0014"", ""transaction_id"": ""txn_00000012""}"
evt_00000013,purchase_succeeded,person_00018,2026-01-03T14:14:01+00:00,"{""amount"": 362.03, ""balance_before"": 1113.36, ""from_id"": ""person_00018"", ""to_id"": ""merchant_0002"", ""transaction_id"": ""txn_00000013""}"
evt_00000014,purchase_succeeded,person_00024,2026-01-03T22:30:55+00:00,"{""amount"": 33.69, ""balance_before"": 3257.4, ""from_id"": ""person_00024"", ""to_id"": ""merchant_0006"", ""transaction_id"": ""txn_00000014""}"
evt_00000015,purchase_succeeded,person_00001,2026-01-04T12:11:49+00:00,"{""amount"": 531.51, ""balance_before"": 4774.34, ""from_id"": ""person_00001"", ""to_id"": ""merchant_0009"", ""transaction_id"": ""txn_00000015""}"
evt_00000016,purchase_succeeded,person_00002,2026-01-04T10:45:32+00:00,"{""amount"": 83.31, ""balance_before"": 4748.72, ""from_id"": ""person_00002"", ""to_id"": ""merchant_0005"", ""transaction_id"": ""txn_00000016""}"
evt_00000017,purchase_succeeded,person_00005,2026-01-04T08:49:20+00:00,"{""amount"": 313.01, ""balance_before"": 2967.45, ""from_id"": ""person_00005"", ""to_id"": ""merchant_0012"", ""transaction_id"": ""txn_00000017""}"
evt_00000018,purchase_succeeded,person_00012,2026-01-04T14:16:49+00:00,"{""amount"": 44.68, ""balance_before"": 691.66, ""from_id"": ""person_00012"", ""to_id"": ""merchant_0001"", ""transaction_id"": ""txn_00000018""}"
