person_id,name,income_monthly,balance,risk_preference,payday
person_00001,Person 1,6063.96,2485.91,0.939,18
person_00002,Person 2,2671.6,2841.76,0.952,1
person_00003,Person 3,7729.78,3242.55,0.186,24
person_00004,Person 4,2471.76,3395.97,0.711,14
person_00005,Person 5,9496.25,2217.69,0.588,16
person_00006,Person 6,2157.02,2411.83,0.744,13
person_00007,Person 7,5030.55,3196.57,0.776,24
person_00008,Person 8,2691.54,1080.17,0.371,24
person_00009,Person 9,3873.61,2625.54,0.615,19
person_00010,Person 10,4683.6,5857.43,0.012,7
person_00011,Person 11,8935.6,2711.46,0.344,28
person_00012,Person 12,997.64,362.83,0.609,24
person_00013,Person 13,2003.35,525.61,0.938,17
person_00014,Person 14,4173.56,1971.32,0.056,28
person_00015,Person 15,4337.44,6171.47,0.485,12
person_00016,Person 16,3022.76,1496.94,0.612,15
person_00017,Person 17,2066.67,1239.41,0.798,26
person_00018,Person 18,3415.29,329.46,0.269,26
person_00019,Person 19,2748.52,3067.33,0.255,6
person_00020,Person 20,2048.01,637.29,0.322,16
person_00021,Person 21,2067.11,2747.44,0.188,4
person_00022,Person 22,8103.6,934.0,0.606,27
person_00023,Person 23,2722.05,166.93,0.96,15
person_00024,Person 24,4062.03,2275.82,0.977,21
person_00025,Person 25,4098.31,1495.04,0.395,19
