transaction_id,timestamp,day,from_id,to_id,amount,kind,balance_before
txn_00000001,2026-01-01T16:08:13+00:00,0,employer:person_00002,person_00002,2651.91,salary,2096.81
txn_00000002,2026-01-01T13:57:36+00:00,0,person_00009,merchant_0001,34.23,purchase,3344.75
txn_00000003,2026-01-01T20:37:12+00:00,0,person_00015,merchant_0010,85.04,purchase,2404.02
txn_00000004,2026-01-01T07:10:12+00:00,0,person_00020,merchant_0005,154.77,purchase,1042.91
txn_00000005,2026-01-01T19:59:35+00:00,0,person_00024,merchant_0002,191.35,purchase,3448.75
txn_00000006,2026-01-02T12:58:34+00:00,1,person_00005,merchant_0003,574.95,purchase,3542.4
txn_00000007,2026-01-02T15:23:21+00:00,1,person_00006,merchant_0014,238.95,purchase,1147.98
txn_00000008,2026-01-02T22:08:37+00:00,1,person_00007,merchant_0010,284.13,purchase,4499.62
txn_00000009,2026-01-02T11:53:08+00:00,1,person_00009,merchant_0014,24.78,purchase,3310.52
txn_0000000a,2026-01-02T15:23:57+00:00,1,person_00013,merchant_0002,116.57,purchase,1921.58
txn_0000000b,2026-01-02T16:00:39+00:00,1,person_00016,merchant_0001,231.32,purchase,1998.47
txn_0000000c,2026-01-02T13:15:50+00:00,1,person_00018,merchant_0001,92.5,purchase,1205.86
txn_0000000d,2026-01-02T10:27:58+00:00,1,person_00021,merchant_0012,42.18,purchase,989.79
txn_0000000e,2026-01-03T16:46:38+00:00,2,person_00004,merchant_0013,64.35,purchase,1852.18
txn_0000000f,2026-01-03T21:07:16+00:00,2,person_00007,merchant_0010,57.14,purchase,4215.49
txn_00000010,2026-01-03T22:42:22+00:00,2,person_00008,merchant_0009,323.39,purchase,2303.84
txn_00000011,2026-01-03T18:05:52+00:00,2,person_00009,merchant_0004,236.48,purchase,3285.74
txn_00000012,2026-01-03T16:15:21+00:00,2,person_00017,merchant_0014,80.77,purchase,1808.15
txn_00000013,2026-01-03T14:14:01+00:00,2,person_00018,merchant_0002,362.03,purchase,1113.36
txn_00000014,2026-01-03T22:30:55+00:00,2,person_00024,merchant_0006,33.69,purchase,3257.4
txn_00000015,2026-01-04T12:11:49+00:00,3,person_00001,merchant_0009,531.51,purchase,4774.34
txn_00000016,2026-01-04T10:45:32+00:00,3,person_00002,merchant_0005,83.31,purchase,4748.72
txn_00000017,2026-01-04T08:49:20+00:00,3,person_00005,merchant_0012,313.01,purchase,2967.45
txn_00000018,2026-01-04T14:16:49+00:00,3,person_00012,merchant_0001,44.68,purchase,691.66
txn_00000019,2026-01-04T15:34:28+00:00,3,person_00013,merchant_0009,326.67,purchase,1805.01
txn_0000001a,2026-01-04T20:36:01+00:00,3,person_00017,merchant_0011,44.74,purchase,1727.38
txn_0000001b,2026-01-04T11:16:53+00:00,3,person_00018,merchant_0003,115.53,purchase,751.33
txn_0000001c,2026-01-04T09:14:31+00:00,3,employer:person_00021,person_00021,1999.34,salary,947.61
txn_0000001d,2026-01-04T21:59:43+00:00,3,person_00021,merchant_0011,149.74,purchase,2946.95
txn_0000001e,2026-01-04T20:21:35+00:00,3,person_00023,merchant_0004,143.61,purchase,358.75
txn_0000001f,2026-01-05T18:10:32+00:00,4,person_00003,merchant_0011,1169.46,purchase,5241.29
txn_00000020,2026-01-05T12:44:44+00:00,4,person_00006,merchant_0006,264.56,purchase,909.03
txn_00000021,2026-01-05T08:31:43+00:00,4,person_00013,merchant_0010,55.39,purchase,1478.34
txn_00000022,2026-01-05T09:08:49+00:00,4,person_00021,merchant_0012,49.77,purchase,2797.21
txn_00000023,2026-01-05T19:51:57+00:00,4,person_00025,merchant_0014,354.53,purchase,2801.83
txn_00000024,2026-01-06T22:13:07+00:00,5,person_00001,merchant_0003,134.39,purchase,4242.83
txn_00000025,2026-01-06T16:17:15+00:00,5,person_00002,merchant_0011,267.81,purchase,4665.41
txn_00000026,2026-01-06T13:11:18+00:00,5,person_00008,merchant_0005,265.02,purchase,1980.45
txn_00000027,2026-01-06T15:53:43+00:00,5,person_00009,merchant_0013,99.0,purchase,3049.26
txn_00000028,2026-01-06T13:36:56+00:00,5,person_00013,merchant_0002,94.1,purchase,1422.95
txn_00000029,2026-01-06T07:34:18+00:00,5,person_00015,merchant_0002,106.45,purchase,2318.98
txn_0000002a,2026-01-06T18:36:51+00:00,5,employer:person_00019,person_00019,2648.64,salary,689.12
txn_0000002b,2026-01-06T17:00:07+00:00,5,person_00019,merchant_0009,165.28,purchase,3337.76
txn_0000002c,2026-01-07T13:59:29+00:00,6,person_00004,merchant_0010,11.81,purchase,1787.83
txn_0000002d,2026-01-07T21:39:42+00:00,6,employer:person_00010,person_00010,4778.63,salary,1424.96
txn_0000002e,2026-01-07T17:55:39+00:00,6,person_00012,merchant_0007,50.92,purchase,646.98
txn_0000002f,2026-01-08T16:09:29+00:00,7,person_00007,merchant_0009,640.8,purchase,4158.35
txn_00000030,2026-01-08T09:22:04+00:00,7,person_00011,merchant_0007,765.21,purchase,4146.2
txn_00000031,2026-01-08T09:25:40+00:00,7,person_00013,merchant_0012,196.14,purchase,1328.85
txn_00000032,2026-01-08T09:04:44+00:00,7,person_00016,merchant_0005,129.76,purchase,1767.15
txn_00000033,2026-01-08T15:22:39+00:00,7,person_00022,merchant_0014,852.58,purchase,2335.31
txn_00000034,2026-01-08T17:45:14+00:00,7,person_00024,merchant_0005,224.34,purchase,3223.71
txn_00000035,2026-01-08T07:54:57+00:00,7,person_00025,merchant_0011,259.99,purchase,2447.3
txn_00000036,2026-01-09T15:12:04+00:00,8,person_00002,merchant_0004,457.59,purchase,4397.6
txn_00000037,2026-01-09T11:38:16+00:00,8,person_00004,merchant_0015,301.54,purchase,1776.02
txn_00000038,2026-01-09T18:19:48+00:00,8,person_00006,merchant_0008,304.58,purchase,644.47
txn_00000039,2026-01-09T16:04:06+00:00,8,person_00007,merchant_0011,74.3,purchase,3517.55
txn_0000003a,2026-01-09T08:03:51+00:00,8,person_00008,merchant_0003,172.63,purchase,1715.43
txn_0000003b,2026-01-09T21:21:42+00:00,8,person_00011,merchant_0014,104.77,purchase,3380.99
txn_0000003c,2026-01-09T14:31:28+00:00,8,person_00013,merchant_0007,117.9,purchase,1132.71
txn_0000003d,2026-01-09T19:13:28+00:00,8,person_00015,merchant_0008,194.94,purchase,2212.53
txn_0000003e,2026-01-09T08:00:51+00:00,8,person_00017,merchant_0002,228.56,purchase,1682.64
txn_0000003f,2026-01-09T16:58:12+00:00,8,person_00018,merchant_0014,306.34,purchase,635.8
txn_00000040,2026-01-09T08:36:24+00:00,8,person_00022,merchant_0003,548.73,purchase,1482.73
txn_00000041,2026-01-09T07:02:34+00:00,8,person_00023,merchant_0005,48.21,purchase,215.14
txn_00000042,2026-01-09T10:27:05+00:00,8,person_00024,merchant_0005,265.48,purchase,2999.37
txn_00000043,2026-01-09T13:42:28+00:00,8,person_00025,merchant_0005,186.95,purchase,2187.31
txn_00000044,2026-01-10T14:15:03+00:00,9,person_00001,merchant_0011,738.33,purchase,4108.44
txn_00000045,2026-01-10T08:57:22+00:00,9,person_00004,merchant_0011,174.14,purchase,1474.48
txn_00000046,2026-01-10T09:16:11+00:00,9,person_00010,merchant_0013,202.52,purchase,6203.59
txn_00000047,2026-01-10T08:03:40+00:00,9,person_00012,merchant_0014,160.56,purchase,596.06
txn_00000048,2026-01-10T10:20:02+00:00,9,person_00013,merchant_0006,210.98,purchase,1014.81
txn_00000049,2026-01-10T19:48:45+00:00,9,person_00014,merchant_0015,46.52,purchase,2017.84
txn_0000004a,2026-01-10T19:03:46+00:00,9,person_00019,merchant_0014,105.15,purchase,3172.48
txn_0000004b,2026-01-10T14:32:35+00:00,9,person_00024,merchant_0014,233.85,purchase,2733.89
txn_0000004c,2026-01-10T22:06:08+00:00,9,person_00025,merchant_0007,505.32,purchase,2000.36
txn_0000004d,2026-01-11T07:57:53+00:00,10,person_00002,merchant_0014,418.13,purchase,3940.01
txn_0000004e,2026-01-11T18:08:36+00:00,10,person_00005,merchant_0007,436.75,purchase,2654.44
txn_0000004f,2026-01-11T17:26:19+00:00,10,person_00006,merchant_0009,119.37,purchase,339.89
txn_00000050,2026-01-11T07:33:07+00:00,10,person_00007,merchant_0009,246.68,purchase,3443.25
txn_00000051,2026-01-11T09:28:17+00:00,10,person_00008,merchant_0006,274.43,purchase,1542.8
txn_00000052,2026-01-11T14:44:36+00:00,10,person_00017,merchant_0005,158.47,purchase,1454.08
txn_00000053,2026-01-12T11:58:07+00:00,11,person_00001,merchant_0010,172.2,purchase,3370.11
txn_00000054,2026-01-12T10:34:43+00:00,11,person_00002,merchant_0001,185.47,purchase,3521.88
txn_00000055,2026-01-12T09:54:04+00:00,11,person_00004,merchant_0009,106.88,purchase,1300.34
txn_00000056,2026-01-12T07:37:23+00:00,11,person_00006,merchant_0007,243.1,payment_failure,220.52
txn_00000057,2026-01-12T14:27:28+00:00,11,person_00010,merchant_0015,143.64,purchase,6001.07
txn_00000058,2026-01-12T15:26:12+00:00,11,employer:person_00015,person_00015,4435.39,salary,2017.59
txn_00000059,2026-01-12T22:04:25+00:00,11,person_00015,merchant_0015,281.51,purchase,6452.98
txn_0000005a,2026-01-12T07:34:07+00:00,11,person_00022,merchant_0011,1212.59,payment_failure,934.0
txn_0000005b,2026-01-13T16:33:26+00:00,12,person_00001,merchant_0009,712.0,purchase,3197.91
txn_0000005c,2026-01-13T16:28:19+00:00,12,person_00002,merchant_0007,411.41,purchase,3336.41
txn_0000005d,2026-01-13T12:16:40+00:00,12,person_00003,merchant_0013,320.93,purchase,4071.83
txn_0000005e,2026-01-13T18:26:25+00:00,12,person_00004,merchant_0001,167.7,purchase,1193.46
txn_0000005f,2026-01-13T07:57:05+00:00,12,employer:person_00006,person_00006,2191.31,salary,220.52
txn_00000060,2026-01-13T12:52:16+00:00,12,person_00016,merchant_0001,140.45,purchase,1637.39
txn_00000061,2026-01-13T15:32:18+00:00,12,person_00017,merchant_0007,56.2,purchase,1295.61
txn_00000062,2026-01-14T07:06:16+00:00,13,person_00002,merchant_0004,83.24,purchase,2925.0
txn_00000063,2026-01-14T12:53:00+00:00,13,person_00003,merchant_0011,508.35,purchase,3750.9
