bank_txn_id,settlement_id,match_type
btx_95256ef3b1,sett_bac5b4c642,exact
btx_4ef157177d,sett_64ffab5645,exact
btx_533371f3c1,sett_dcc6105ab2,exact
btx_311b2f9482,sett_9c1924542a,exact
btx_18faf2d7cb,sett_eb79d6acba,exact
btx_0aa9b09faa,sett_454961fecd,exact
btx_c4a9de17a1,sett_705ae64c5a,exact
btx_ce9a25f6fe,sett_5ebacb3627,bank_adjustment
btx_08740f19a2,sett_005760c62e,exact
btx_f6c3e5bc7f,sett_0c20f81711,fee_discrepancy
btx_89a6445108,sett_0b8091ffc2,exact
btx_f001a4d5c0,sett_14957842bc,exact
btx_abd1fec657,sett_0f7797b946,exact
btx_529d8a61de,sett_94c2e0aab4,exact
btx_c031ebf4ff,sett_958fa60709,exact
btx_4c123aa808,sett_b05192c61d,split
btx_9c08ce8873,sett_b05192c61d,split
btx_9d571488fe,sett_8f6394c4bc,partial_refund
btx_f19835e5bd,sett_1ddf7adb3f,exact
btx_c81c9680cc,sett_49aef2d66b,exact
btx_c69439bbaf,sett_494cc35014,exact
btx_6d54775c81,sett_f456ef0855,exact
btx_2347b00c8d,sett_6eba3291d2,exact
btx_ae69b90c9c,sett_9f9e1d9d69,exact
btx_25ee606e61,sett_a82ab42547,exact
btx_0a3574e9b2,sett_53f40b1f89,fee_discrepancy
btx_947c28f329,sett_4d15a765f7,partial_refund
btx_c985e24cca,sett_b2a9f39f18,exact
btx_3ac0a54160,sett_87372a519f,exact
btx_1b403a8cae,sett_43ce38656e,exact
btx_7c59001120,sett_2fa1818ab1,exact
btx_5dc7993311,sett_a4873b64ca,fee_discrepancy
btx_95655f319b,sett_da924a8b99,exact
btx_babb559b38,sett_4ebbca3a08,bank_adjustment
btx_e6a48c9917,sett_e98d40475b,exact
btx_73c8e3f095,sett_d7232dd72c,exact
btx_3a47eb2632,sett_d5476c9774,exact
btx_081a4f38ab,sett_fe66c02365,bank_adjustment
btx_50e887144f,sett_67f164d83c,exact
btx_549827fea5,sett_8d9df56ffe,currency_conversion
btx_167522fb06,sett_f8af62a570,exact
btx_4dca06e44e,sett_069d9c7f26,duplicate_record
btx_65b0740590,sett_37219b582b,partial_refund
btx_383090d47f,sett_1e76f1d0f0,exact
btx_d72858d733,sett_1429000de5,exact
btx_58a68dd977,sett_b46ab605a7,fee_discrepancy
btx_87f4fa1a4b,sett_65288942ea,exact
btx_b63dfcc60b,sett_78068c8a3b,exact
btx_32e7f9acbc,sett_15b1b123be,exact
btx_19c45f2666,sett_0ad47b9418,exact
btx_7d35d15147,sett_c4b7863b92,currency_conversion
btx_bb9c458832,sett_9f57f01b82,currency_conversion
btx_bf1e03d066,sett_d486c0352d,split
btx_1fe714781f,sett_d486c0352d,split
btx_db17ae0c13,sett_e360900dfe,exact
btx_14fcdfa638,sett_892c2bd8a0,exact
btx_b876e64e10,sett_ccca9aeae2,exact
btx_8ebbe16eb2,sett_da6b6a8985,exact
btx_17be12056f,sett_41f5c37f45,exact
btx_362ed621a9,sett_f13f3e591d,exact
btx_b19a5800a2,sett_9cefab750f,partial_refund
btx_d74df192ab,sett_dabaadf1e2,fee_discrepancy
btx_06c9eb8ddb,sett_a1aadedbc5,bank_adjustment
btx_db9b1ab322,sett_dc6f4db7ce,bank_adjustment
btx_0f8ba3e35b,sett_be2104ca76,exact
btx_5c2f39dfa8,sett_0621a5c455,duplicate_record
btx_8e91ad0e5c,sett_085d8e5036,duplicate_record
btx_01d66ef247,sett_c411272df2,exact
btx_f75aaccc8b,sett_d7f1078bb9,timing_skew
btx_b75d8ccd6f,sett_967e5e9c5a,exact
btx_77a97ba7d5,sett_91e9ed45e5,exact
btx_dcdefdd314,sett_a5f0ea4772,bank_adjustment
btx_4d7bb1b6d7,sett_dfa8a6fa19,exact
btx_068da37990,sett_7b0db31503,exact
btx_4b52525564,sett_f44f54a13f,fee_discrepancy
btx_171f14f1d2,sett_8a3b0296f3,exact
btx_0e1d140445,sett_1a6b55bf59,split
btx_9a85c952ce,sett_1a6b55bf59,split
btx_5c60e6870c,sett_4396a505c7,exact
btx_c6e1cb23f1,sett_fb6c59fbda,exact
btx_7f0850a2f1,sett_1aad053b3a,duplicate_record
btx_4c8012e7f2,sett_b1a1b1711c,partial_refund
btx_05b038072e,sett_448dddde80,currency_conversion
btx_534b9e55e0,sett_01f200c38c,duplicate_record
btx_b3ff5f6e9f,sett_ffa237eecc,exact
btx_459f144726,sett_2f1fc6f109,exact
btx_87c4194540,sett_b09230518c,exact
btx_910ea60b60,sett_4860dfacc2,split
btx_55f36faa1f,sett_4860dfacc2,split
btx_ccee3029df,sett_f74ec773da,exact
btx_0af6adb289,sett_ac9e276c05,exact
btx_fde6f7b1cc,sett_699fd7a04d,exact
btx_1ab9f28c3e,sett_cd31ff0f93,exact
btx_69716910b7,sett_e12b36335e,exact
btx_f80f57f21a,sett_b10a8c65f5,exact
btx_097a141231,sett_15dc29bc65,split
btx_f3d3de0837,sett_15dc29bc65,split
btx_f091949da2,sett_222e565845,exact
btx_b1381d91fa,sett_007fbc1252,exact
btx_94a2d0b753,sett_d469b54aec,exact
btx_b81089feea,sett_a117c9f253,exact
btx_9b1592a8e1,sett_9df4957bf1,exact
btx_6d22f0d9f6,sett_7f5c1ad5a0,exact
btx_07afa2d97c,sett_24e58839dd,exact
btx_e8442e7b3d,sett_f8033dfbbd,exact
btx_18029a9d5b,sett_9a0f3d0d8b,partial_refund
btx_175b52c5b6,sett_8723016d32,exact
btx_0ac7186eb9,sett_dfbede2c5f,exact
btx_30b3f8b85f,sett_3b0ee502aa,exact
btx_d168342764,sett_f528e08a5c,exact
btx_e75d9d6e0f,sett_3e48450c73,exact
btx_bf349619c3,sett_d05e647490,exact
btx_fe27eacf95,sett_7a56ca201a,duplicate_record
btx_bb028c17a4,sett_160b26057f,exact
btx_d20abdee60,sett_27ee67ee49,exact
btx_e1d69c1018,sett_a8952d5244,partial_refund
btx_a62f1df666,sett_5ec2b923ca,exact
btx_27ddcbd192,sett_07b4be4f47,exact
btx_4d8aef32c0,sett_da2dbc2274,exact
btx_bf46253000,sett_56f33c48e6,duplicate_record
btx_921e3d840f,sett_f578e9ba67,exact
btx_926842eb01,sett_532d2baca2,timing_skew
btx_b3f1bf1fd5,sett_9d3035abb4,exact
btx_d36bfe4d2b,sett_0d263d37a8,exact
btx_8d0e69f025,sett_b0f8396bfd,exact
btx_f5a030af35,sett_bd4f53ea2a,exact
btx_d7e1b38a15,sett_f287748cc6,exact
btx_2ecba1401f,sett_1e62bbfb9b,timing_skew
btx_db9a26da54,sett_e7e3d0efad,timing_skew
btx_77dbbc68ec,sett_ed7e00f434,exact
btx_4e2530cec4,sett_08530d47de,exact
btx_96777e1007,sett_2c8cb67187,exact
btx_9a16d8c470,sett_bc73b5df57,exact
btx_4bd8bfa6c9,sett_cbf2a2fbec,exact
btx_7200a3bb73,sett_9946d02289,exact
btx_f0a12866f4,sett_410aedec84,split
btx_8b49d675e8,sett_410aedec84,split
btx_2f839e4e4d,sett_7d82674399,bank_adjustment
btx_d04faea843,sett_e5d02cefa4,exact
btx_e161457891,sett_38632ffbf0,exact
btx_134be1475f,sett_2ff466a934,exact
btx_6e1cdae81d,sett_fde52ab20f,exact
btx_390ce005fa,sett_f8a8a40d24,exact
btx_10909cb0f0,sett_4079f0e4a5,exact
btx_321fc8a1d2,sett_97fbd8c2f3,exact
btx_7aef52eade,sett_41ac257001,exact
btx_422fbd9407,sett_556e0fd542,exact
