settlement_id,payment_ids,root_cause,expected_net,actual_bank_amount,is_explainable
sett_bac5b4c642,pay_ac3faf06c9;pay_f9749185b1;pay_f2a96b5385;pay_6a01bf2f26;pay_0291976f7f;pay_9f2d9ecadf;pay_b79961fe54,none,26630.56,26630.56,True
sett_64ffab5645,pay_9bdc324076;pay_48bd9b62a7;pay_077dad87e0;pay_4db5b915b3,none,15613.47,15613.47,True
sett_dcc6105ab2,pay_c498f16e09;pay_9d0b51a312;pay_6ef185ed41;pay_45fddd41fd;pay_cc13ca58e5,none,2165.29,2165.29,True
sett_9c1924542a,pay_a5992c47b1;pay_10a756e996;pay_c22cc077be;pay_8a8b363590;pay_e3ecbe96b0;pay_e55a68bb2d;pay_dd0535bcec,none,6095.82,6095.82,True
sett_eb79d6acba,pay_ae31ac33d4;pay_5fe89a1a02;pay_82d2811046;pay_d4ac3fbb6e;pay_8f1c724961;pay_a1bd912ef3;pay_a588cbd2f2;pay_b7a1ed184b,none,18904.58,18904.58,True
sett_454961fecd,pay_aba0975df6;pay_87c13cc7b7;pay_a80c0da1f7;pay_c0e7295d36;pay_4d8f270a52;pay_54d3fd088b;pay_27f7c51797;pay_252660f33c;pay_8563d2749f,none,4617.64,4617.64,True
sett_705ae64c5a,pay_3e9c3bb269;pay_44e32fa9e5,none,39762.9,39762.9,True
sett_5ebacb3627,pay_8270cf5f8f,bank_adjustment,651.33,194.41,False
sett_005760c62e,pay_b532968c0a,none,3487.61,3487.61,True
sett_0c20f81711,pay_118a851c25;pay_83dfd8ca44,fee_discrepancy,10528.28,10491.71,True
sett_0b8091ffc2,pay_fa4b502e5a,none,253.42,253.42,True
sett_14957842bc,pay_f0a73ba9ef,none,1253.43,1253.43,True
sett_3001725cb9,pay_219e481026,missing_settlement,912.93,,True
sett_0f7797b946,pay_31e47c129e;pay_72fd5d74bb,none,28090.13,28090.13,True
sett_94c2e0aab4,pay_18f0817a05;pay_adc1b5d0be,none,8402.63,8402.63,True
sett_958fa60709,pay_138b76f135,none,7263.76,7263.76,True
sett_b05192c61d,pay_13594bd1b0,split_settlement,1891.2,1891.2,True
sett_8f6394c4bc,pay_d303abcd22,partial_refund,574.13,409.79,True
sett_1ddf7adb3f,pay_3f422e2ed7,none,5059.34,5059.34,True
sett_49aef2d66b,pay_60e61970e1,none,6921.65,6921.65,True
sett_494cc35014,pay_f397582e87,none,30803.24,30803.24,True
sett_f456ef0855,pay_bb35eab940;pay_aca347ed9e;pay_197b08ecc0,none,41511.54,41511.54,True
sett_6eba3291d2,pay_0b6d6ae2ec;pay_8f0e93597c;pay_d0c702008d,none,14677.92,14677.92,True
sett_9f9e1d9d69,pay_5dbd2fbef7;pay_d169cd82e0,none,539.63,539.63,True
sett_a82ab42547,pay_a9800bea38;pay_7785c30ee3,none,1191.7,1191.7,True
sett_53f40b1f89,pay_444ad07a31,fee_discrepancy,6536.52,6439.63,True
sett_4d15a765f7,pay_4a07ce129c,partial_refund,44447.31,39223.68,True
sett_b2a9f39f18,pay_3f40091e4f;pay_bbb5f2ccb1,none,1299.89,1299.89,True
sett_87372a519f,pay_e104396bdf,none,108.66,108.66,True
sett_43ce38656e,pay_d253fe05b3,none,219.75,219.75,True
sett_2fa1818ab1,pay_506e5fd94e;pay_0d6238fc76,none,6.37,6.37,True
sett_a4873b64ca,pay_e6210a6d50;pay_4e0bccd09c;pay_ebafe7f365;pay_94443ac50f,fee_discrepancy,35103.56,34960.07,True
sett_da924a8b99,pay_52dad162ea;pay_513d5d7d2d;pay_efc0d63595,none,1262.09,1262.09,True
sett_4ebbca3a08,pay_2b006fcdab,bank_adjustment,4008.86,3674.99,False
sett_e98d40475b,pay_e8cfb14e85,none,3398.64,3398.64,True
sett_d7232dd72c,pay_46bb632827,none,969.87,969.87,True
sett_d5476c9774,pay_e856bf77a9,none,-20.41,-20.41,True
sett_fe66c02365,pay_7f4b313a2b,bank_adjustment,392.55,212.37,False
sett_67f164d83c,pay_162b10d395,none,973.23,973.23,True
sett_8d9df56ffe,pay_f8009ca2fe,currency_conversion,17481.78,17403.1,False
sett_f8af62a570,pay_eb67f62bad,none,1765.57,1765.57,True
sett_069d9c7f26,pay_a43e3f8d75,duplicate_record,795.86,-19.23,True
sett_37219b582b,pay_2928ff2f84,partial_refund,10632.82,7593.26,True
sett_1e76f1d0f0,pay_c3d7d29f21,none,595.19,595.19,True
sett_1429000de5,pay_b1b0bab202,none,3766.37,3766.37,True
sett_b46ab605a7,pay_5c1aa97558,fee_discrepancy,783.91,676.3,True
sett_65288942ea,pay_f82d944ded,none,1170.03,1170.03,True
sett_78068c8a3b,pay_040768c720,none,11214.34,11214.34,True
