payment_id,failure_reason,is_recoverable,retry_would_succeed,recommended_action
pay_f63eecc054,insufficient_funds,True,True,RETRY_LATER
pay_c7141196c8,timeout,True,False,RETRY_PAYMENT
pay_b9506fe143,insufficient_funds,True,True,RETRY_LATER
pay_e7a22834d1,insufficient_funds,True,True,RETRY_LATER
pay_5738800427,risk_block,False,False,MANUAL_REVIEW
pay_142476e162,insufficient_funds,True,True,RETRY_LATER
pay_5d73bf7b12,timeout,True,True,RETRY_PAYMENT
pay_cde0c881c3,insufficient_funds,True,True,RETRY_LATER
pay_056db81f05,timeout,True,True,RETRY_PAYMENT
pay_2fe06478ef,timeout,True,True,RETRY_PAYMENT
pay_7171c93680,insufficient_funds,True,False,RETRY_LATER
pay_ef36354524,issuer_declined,True,False,RETRY_ALT_METHOD
pay_b028c56a94,timeout,True,False,RETRY_PAYMENT
pay_28bb81a3a5,issuer_declined,True,False,RETRY_ALT_METHOD
pay_60860a294c,timeout,True,True,RETRY_PAYMENT
pay_1cb33a7176,issuer_declined,True,False,RETRY_ALT_METHOD
pay_711592cb5c,expired,False,False,REQUEST_CUSTOMER_ACTION
pay_06a4ef5461,insufficient_funds,True,False,RETRY_LATER
pay_f328c8e89d,insufficient_funds,True,False,RETRY_LATER
pay_e2a54272e6,technical_failure,True,False,RETRY_PAYMENT
pay_3946c4ab00,insufficient_funds,True,False,RETRY_LATER
pay_95320fd999,insufficient_funds,True,False,RETRY_LATER
pay_7db1e1a7f4,technical_failure,True,True,RETRY_PAYMENT
pay_c2e2864673,timeout,True,True,RETRY_PAYMENT
pay_2b68379960,authentication_failure,True,True,RETRY_ALT_METHOD
pay_74b402a8ce,insufficient_funds,True,True,RETRY_LATER
pay_1170b20e4c,technical_failure,True,True,RETRY_PAYMENT
pay_68f1118d69,technical_failure,True,True,RETRY_PAYMENT
pay_49fad59fe7,issuer_declined,True,False,RETRY_ALT_METHOD
pay_f84c0d53de,technical_failure,True,False,RETRY_PAYMENT
pay_f02b4035d1,timeout,True,True,RETRY_PAYMENT
pay_63105a8b74,authentication_failure,True,True,RETRY_ALT_METHOD
pay_a9ff5f99a0,technical_failure,True,True,RETRY_PAYMENT
pay_e69332ede3,technical_failure,True,True,RETRY_PAYMENT
pay_cac05fbd51,technical_failure,True,True,RETRY_PAYMENT
pay_13286b7dc7,risk_block,False,False,MANUAL_REVIEW
pay_0eb3993117,insufficient_funds,True,False,RETRY_LATER
pay_f7dc3874a4,issuer_declined,True,False,RETRY_ALT_METHOD
pay_594e478f00,insufficient_funds,True,False,RETRY_LATER
pay_90642b0ef1,authentication_failure,True,False,RETRY_ALT_METHOD
pay_cb3f197fa2,technical_failure,True,True,RETRY_PAYMENT
pay_810556dc98,timeout,True,True,RETRY_PAYMENT
pay_7a1f795811,authentication_failure,True,False,RETRY_ALT_METHOD
pay_9de629604e,insufficient_funds,True,False,RETRY_LATER
pay_c0478fe393,expired,False,False,REQUEST_CUSTOMER_ACTION
pay_20e697a470,insufficient_funds,True,False,RETRY_LATER
pay_cd19e8739e,timeout,True,False,RETRY_PAYMENT
pay_864a3c9856,insufficient_funds,True,False,RETRY_LATER
pay_704b0ae166,authentication_failure,True,True,RETRY_ALT_METHOD
pay_0b292adba3,insufficient_funds,True,False,RETRY_LATER
pay_6f7c742788,timeout,True,True,RETRY_PAYMENT
pay_32ba44f8e9,timeout,True,True,RETRY_PAYMENT
pay_6f005d9c93,risk_block,False,False,MANUAL_REVIEW
pay_4635a43301,insufficient_funds,True,True,RETRY_LATER
pay_2c8407c22a,issuer_declined,True,False,RETRY_ALT_METHOD
pay_56aed0fb6e,issuer_declined,True,True,RETRY_ALT_METHOD
pay_83dc3e2ebd,timeout,True,False,RETRY_PAYMENT
pay_0ba1d3f133,insufficient_funds,True,False,RETRY_LATER
pay_50b3724a40,technical_failure,True,False,RETRY_PAYMENT
pay_6c3f136c75,risk_block,False,False,MANUAL_REVIEW
