bank_txn_id,utr,amount,value_date,description
btx_95256ef3b1,UTR451E996636D0,26630.56,2026-08-17T00:00:00,RAZORPAY c5b4c642 SETTLEMENT
btx_4ef157177d,UTR918327D98E02,15613.47,2026-08-23T00:00:00,RAZORPAY ffab5645 SETTLEMENT
btx_533371f3c1,UTRB15F652B1F5D,2165.29,2026-08-10T00:00:00,RAZORPAY c6105ab2 SETTLEMENT
btx_311b2f9482,UTRD47620A71D4B,6095.82,2026-08-09T00:00:00,RAZORPAY 1924542a SETTLEMENT
btx_18faf2d7cb,UTRE441514FEC9A,18904.58,2026-08-21T00:00:00,RAZORPAY 79d6acba SETTLEMENT
btx_0aa9b09faa,UTRE22B0EF67A1E,4617.64,2026-08-29T00:00:00,RAZORPAY 4961fecd SETTLEMENT
btx_c4a9de17a1,UTRBAEE0D8C83AC,39762.9,2026-08-25T00:00:00,RAZORPAY 5ae64c5a SETTLEMENT
btx_ce9a25f6fe,UTR4952AF208527,194.41,2026-07-24T00:00:00,RZP cb3627 ADJ
btx_08740f19a2,UTR177D74DE0ACA,3487.61,2026-09-01T00:00:00,RAZORPAY 5760c62e SETTLEMENT
btx_f6c3e5bc7f,UTR3EFEB3F8E41A,10491.71,2026-08-31T00:00:00,RAZORPAY 20f81711 SETTLEMENT
btx_89a6445108,UTRCC9193243108,253.42,2026-08-23T00:00:00,RAZORPAY 8091ffc2 SETTLEMENT
btx_f001a4d5c0,UTR80B5D1155108,1253.43,2026-09-04T00:00:00,RAZORPAY 957842bc SETTLEMENT
btx_abd1fec657,UTRFC7954255C78,28090.13,2026-07-22T00:00:00,RAZORPAY 7797b946 SETTLEMENT
btx_529d8a61de,UTR1C8E50B8379E,8402.63,2026-08-23T00:00:00,RAZORPAY c2e0aab4 SETTLEMENT
btx_c031ebf4ff,UTR3DF01EA7659F,7263.76,2026-08-23T00:00:00,RAZORPAY 8fa60709 SETTLEMENT
btx_4c123aa808,UTR0C0CE411296B,945.6,2026-08-18T00:00:00,RAZORPAY 5192c61d SETTLEMENT PART1
btx_9c08ce8873,UTRA0490BB60F4A,945.6,2026-08-18T00:00:00,RAZORPAY 5192c61d SETTLEMENT PART2
btx_9d571488fe,UTRB482E518640D,409.79,2026-07-14T00:00:00,RAZORPAY 6394c4bc SETTLEMENT
btx_f19835e5bd,UTR3286F4983079,5059.34,2026-09-03T00:00:00,RAZORPAY df7adb3f SETTLEMENT
btx_c81c9680cc,UTR7B57E50F5917,6921.65,2026-09-02T00:00:00,RAZORPAY aef2d66b SETTLEMENT
btx_c69439bbaf,UTRB985D14EB8D3,30803.24,2026-07-15T00:00:00,RAZORPAY 4cc35014 SETTLEMENT
btx_6d54775c81,UTR72CDB39EDB53,41511.54,2026-07-30T00:00:00,RAZORPAY 56ef0855 SETTLEMENT
btx_2347b00c8d,UTR9E199D00596B,14677.92,2026-08-15T00:00:00,RAZORPAY ba3291d2 SETTLEMENT
btx_ae69b90c9c,UTR82779A5F23D8,539.63,2026-08-11T00:00:00,RAZORPAY 9e1d9d69 SETTLEMENT
btx_25ee606e61,UTR2E006A6E8537,1191.7,2026-08-20T00:00:00,RAZORPAY 2ab42547 SETTLEMENT
btx_0a3574e9b2,UTRB356AD99F829,6439.63,2026-08-06T00:00:00,RAZORPAY f40b1f89 SETTLEMENT
btx_947c28f329,UTR6E535BA31D64,39223.68,2026-08-04T00:00:00,RAZORPAY 15a765f7 SETTLEMENT
btx_c985e24cca,UTRC5A7E545DF97,1299.89,2026-07-22T00:00:00,RAZORPAY a9f39f18 SETTLEMENT
btx_3ac0a54160,UTR4ECA4785A270,108.66,2026-08-08T00:00:00,RAZORPAY 372a519f SETTLEMENT
btx_1b403a8cae,UTR98B51FCCA588,219.75,2026-07-16T00:00:00,RAZORPAY ce38656e SETTLEMENT
btx_7c59001120,UTR0F999B2AF5BF,6.37,2026-07-20T00:00:00,RAZORPAY a1818ab1 SETTLEMENT
btx_5dc7993311,UTRFE77F450A3DC,34960.07,2026-07-21T00:00:00,RAZORPAY 873b64ca SETTLEMENT
btx_95655f319b,UTRD0DA520D32FD,1262.09,2026-08-12T00:00:00,RAZORPAY 924a8b99 SETTLEMENT
btx_babb559b38,UTR9DE1A5679ED8,3674.99,2026-09-02T00:00:00,RZP ca3a08 ADJ
btx_e6a48c9917,UTR1DEC3B18D352,3398.64,2026-08-13T00:00:00,RAZORPAY 8d40475b SETTLEMENT
btx_73c8e3f095,UTR47242F0B8388,969.87,2026-07-13T00:00:00,RAZORPAY 232dd72c SETTLEMENT
btx_3a47eb2632,UTR95A166C605BE,-20.41,2026-07-23T00:00:00,RAZORPAY 476c9774 SETTLEMENT
btx_081a4f38ab,UTR4956D41CF00D,212.37,2026-07-12T00:00:00,RZP c02365 ADJ
btx_50e887144f,UTRA2611CED10E6,973.23,2026-08-27T00:00:00,RAZORPAY f164d83c SETTLEMENT
btx_549827fea5,UTRD21A324CCD5A,17403.1,2026-08-07T00:00:00,RAZORPAY 9df56ffe SETTLEMENT
btx_167522fb06,UTR05CCAE86BB82,1765.57,2026-08-17T00:00:00,RAZORPAY af62a570 SETTLEMENT
btx_4dca06e44e,UTR4F4BC447015B,-19.23,2026-07-11T00:00:00,RAZORPAY 9d9c7f26 SETTLEMENT
btx_65b0740590,UTR6FF82C3D875B,7593.26,2026-07-17T00:00:00,RAZORPAY 219b582b SETTLEMENT
btx_383090d47f,UTR3C9167E74404,595.19,2026-07-21T00:00:00,RAZORPAY 76f1d0f0 SETTLEMENT
btx_d72858d733,UTR86FB5A99532D,3766.37,2026-07-30T00:00:00,RAZORPAY 29000de5 SETTLEMENT
btx_58a68dd977,UTR6706DCA1184A,676.3,2026-07-11T00:00:00,RAZORPAY 6ab605a7 SETTLEMENT
btx_87f4fa1a4b,UTRF954F1AA4276,1170.03,2026-07-30T00:00:00,RAZORPAY 288942ea SETTLEMENT
btx_b63dfcc60b,UTR15E83D26A653,11214.34,2026-07-06T00:00:00,RAZORPAY 068c8a3b SETTLEMENT
btx_32e7f9acbc,UTR7D390B383770,28708.05,2026-07-12T00:00:00,RAZORPAY b1b123be SETTLEMENT
btx_19c45f2666,UTR0BB0DE349827,2461.3,2026-08-20T00:00:00,RAZORPAY d47b9418 SETTLEMENT
btx_7d35d15147,UTRE9406237B274,871.3,2026-08-17T00:00:00,RAZORPAY b7863b92 SETTLEMENT
btx_bb9c458832,UTR7FA2EF12CDD2,7723.6,2026-08-19T00:00:00,RAZORPAY 57f01b82 SETTLEMENT
btx_bf1e03d066,UTRD99442CDC8C9,1528.94,2026-07-22T00:00:00,RAZORPAY 86c0352d SETTLEMENT PART1
btx_1fe714781f,UTR1423F2B27C3E,1528.9499999999998,2026-07-22T00:00:00,RAZORPAY 86c0352d SETTLEMENT PART2
btx_db17ae0c13,UTR81DF985837E1,13543.08,2026-08-05T00:00:00,RAZORPAY 60900dfe SETTLEMENT
btx_14fcdfa638,UTR825F50850D65,1869.83,2026-09-03T00:00:00,RAZORPAY 2c2bd8a0 SETTLEMENT
btx_b876e64e10,UTRE8004832F043,583.93,2026-08-25T00:00:00,RAZORPAY ca9aeae2 SETTLEMENT
btx_8ebbe16eb2,UTRA525C971486E,1232.73,2026-07-28T00:00:00,RAZORPAY 6b6a8985 SETTLEMENT
btx_17be12056f,UTRBAC2FA668F64,16947.85,2026-09-01T00:00:00,RAZORPAY f5c37f45 SETTLEMENT
btx_362ed621a9,UTR859FD6406D6E,28656.6,2026-07-19T00:00:00,RAZORPAY 3f3e591d SETTLEMENT
btx_b19a5800a2,UTR341AABE5CD8A,2267.68,2026-08-17T00:00:00,RAZORPAY efab750f SETTLEMENT
btx_d74df192ab,UTRAD0E51001C97,7879.27,2026-08-02T00:00:00,RAZORPAY baadf1e2 SETTLEMENT
btx_06c9eb8ddb,UTR48713AFF6B7C,1128.55,2026-08-26T00:00:00,RZP dedbc5 ADJ
btx_db9b1ab322,UTR722B4B9779E4,648.61,2026-08-22T00:00:00,RZP 4db7ce ADJ
btx_0f8ba3e35b,UTRF9ADC17E6D1E,533.53,2026-07-27T00:00:00,RAZORPAY 2104ca76 SETTLEMENT
btx_5c2f39dfa8,UTR526A9E7B1138,-262.69,2026-07-11T00:00:00,RAZORPAY 21a5c455 SETTLEMENT
btx_8e91ad0e5c,UTRF848AAF91953,18198.31,2026-08-10T00:00:00,RAZORPAY 5d8e5036 SETTLEMENT
btx_01d66ef247,UTRDEF9F13A6C29,1502.28,2026-08-23T00:00:00,RAZORPAY 11272df2 SETTLEMENT
btx_f75aaccc8b,UTR758C2F3DACE9,1668.91,2026-08-22T00:00:00,RAZORPAY f1078bb9 SETTLEMENT
btx_b75d8ccd6f,UTRF1C386480061,817.06,2026-08-10T00:00:00,RAZORPAY 7e5e9c5a SETTLEMENT
btx_77a97ba7d5,UTRE0C8672AABA6,284.16,2026-07-21T00:00:00,RAZORPAY e9ed45e5 SETTLEMENT
btx_dcdefdd314,UTRD2EA54731592,37166.5,2026-09-04T00:00:00,RZP ea4772 ADJ
btx_4d7bb1b6d7,UTRF231F18F6020,4484.05,2026-07-23T00:00:00,RAZORPAY a8a6fa19 SETTLEMENT
btx_068da37990,UTRE97168026933,921.07,2026-09-03T00:00:00,RAZORPAY 0db31503 SETTLEMENT
btx_4b52525564,UTR2934836629CC,-127.31,2026-08-06T00:00:00,RAZORPAY 4f54a13f SETTLEMENT
btx_171f14f1d2,UTR7EA596F13A52,1837.27,2026-07-13T00:00:00,RAZORPAY 3b0296f3 SETTLEMENT
btx_0e1d140445,UTR3AAC55FAA1FD,335.64,2026-07-22T00:00:00,RAZORPAY 6b55bf59 SETTLEMENT PART1
btx_9a85c952ce,UTR617B427BA076,335.64,2026-07-22T00:00:00,RAZORPAY 6b55bf59 SETTLEMENT PART2
btx_5c60e6870c,UTR5B0743D7CCA0,127.71,2026-08-31T00:00:00,RAZORPAY 96a505c7 SETTLEMENT
btx_c6e1cb23f1,UTRF973ABA6BD94,1325.33,2026-07-15T00:00:00,RAZORPAY 6c59fbda SETTLEMENT
btx_7f0850a2f1,UTRF22B77AA3BB9,-23.95,2026-09-03T00:00:00,RAZORPAY ad053b3a SETTLEMENT
btx_4c8012e7f2,UTR82227198EF6A,719.55,2026-08-27T00:00:00,RAZORPAY a1b1711c SETTLEMENT
btx_05b038072e,UTRB6E3AA928E53,30269.56,2026-07-17T00:00:00,RAZORPAY 8dddde80 SETTLEMENT
btx_534b9e55e0,UTRF2B5E2AEB9FF,-20.34,2026-07-24T00:00:00,RAZORPAY f200c38c SETTLEMENT
btx_b3ff5f6e9f,UTR66EBCF06D9CB,2976.68,2026-07-28T00:00:00,RAZORPAY a237eecc SETTLEMENT
btx_459f144726,UTR07AC888C9C7B,-20.25,2026-09-01T00:00:00,RAZORPAY 1fc6f109 SETTLEMENT
btx_87c4194540,UTRC75CA6D45268,11064.36,2026-08-31T00:00:00,RAZORPAY 9230518c SETTLEMENT
btx_910ea60b60,UTR6C8C8B45B583,20856.64,2026-07-18T00:00:00,RAZORPAY 60dfacc2 SETTLEMENT PART1
btx_55f36faa1f,UTRDCDEC12CC6AC,20856.64,2026-07-18T00:00:00,RAZORPAY 60dfacc2 SETTLEMENT PART2
btx_ccee3029df,UTR3B0A5A491813,8693.15,2026-07-13T00:00:00,RAZORPAY 4ec773da SETTLEMENT
btx_0af6adb289,UTR600E30A1AEBB,11356.25,2026-07-16T00:00:00,RAZORPAY 9e276c05 SETTLEMENT
btx_fde6f7b1cc,UTR5AEDAD02F79A,13457.7,2026-07-10T00:00:00,RAZORPAY 9fd7a04d SETTLEMENT
btx_1ab9f28c3e,UTR538EE881E2FB,-205.11,2026-07-28T00:00:00,RAZORPAY 31ff0f93 SETTLEMENT
btx_69716910b7,UTR95D1532C364A,2865.43,2026-07-24T00:00:00,RAZORPAY 2b36335e SETTLEMENT
btx_f80f57f21a,UTRA1F975C94E6F,976.48,2026-08-30T00:00:00,RAZORPAY 0a8c65f5 SETTLEMENT
btx_097a141231,UTR27A08FF3CF93,676.27,2026-07-25T00:00:00,RAZORPAY dc29bc65 SETTLEMENT PART1
btx_f3d3de0837,UTR9748B05238F2,676.28,2026-07-25T00:00:00,RAZORPAY dc29bc65 SETTLEMENT PART2
btx_f091949da2,UTR9724A735F567,-894.07,2026-07-29T00:00:00,RAZORPAY 2e565845 SETTLEMENT
btx_b1381d91fa,UTR5BB3358F36C3,6134.48,2026-07-31T00:00:00,RAZORPAY 7fbc1252 SETTLEMENT
btx_94a2d0b753,UTRE10C5A1C897A,10528.79,2026-07-27T00:00:00,RAZORPAY 69b54aec SETTLEMENT
btx_b81089feea,UTR7211A53CC3A7,11775.26,2026-07-07T00:00:00,RAZORPAY 17c9f253 SETTLEMENT
btx_9b1592a8e1,UTRDCFE2498C503,1198.16,2026-08-05T00:00:00,RAZORPAY f4957bf1 SETTLEMENT
btx_6d22f0d9f6,UTR5D58DAACAA1C,510.66,2026-08-26T00:00:00,RAZORPAY 5c1ad5a0 SETTLEMENT
btx_07afa2d97c,UTR6D04ACC4AE94,19280.68,2026-07-31T00:00:00,RAZORPAY e58839dd SETTLEMENT
btx_e8442e7b3d,UTR1CADAA9BCEBE,534.5,2026-07-20T00:00:00,RAZORPAY 033dfbbd SETTLEMENT
btx_18029a9d5b,UTRBD07E357681D,37658.18,2026-08-24T00:00:00,RAZORPAY 0f3d0d8b SETTLEMENT
btx_175b52c5b6,UTR472B6934C998,6970.08,2026-08-29T00:00:00,RAZORPAY 23016d32 SETTLEMENT
btx_0ac7186eb9,UTR5B4E30D5ED7F,1288.86,2026-08-16T00:00:00,RAZORPAY bede2c5f SETTLEMENT
btx_30b3f8b85f,UTRF166C6E7B333,2201.73,2026-09-01T00:00:00,RAZORPAY 0ee502aa SETTLEMENT
btx_d168342764,UTR47C290C629DA,11579.92,2026-07-20T00:00:00,RAZORPAY 28e08a5c SETTLEMENT
btx_e75d9d6e0f,UTR36652B7C11C1,4090.27,2026-07-12T00:00:00,RAZORPAY 48450c73 SETTLEMENT
btx_bf349619c3,UTR542A763B3CCD,1170.99,2026-07-15T00:00:00,RAZORPAY 5e647490 SETTLEMENT
btx_fe27eacf95,UTR52EFADD60425,-3.61,2026-07-25T00:00:00,RAZORPAY 56ca201a SETTLEMENT
btx_bb028c17a4,UTR82139A26AEB3,7889.52,2026-07-30T00:00:00,RAZORPAY 0b26057f SETTLEMENT
btx_d20abdee60,UTR1876B2F4960C,-21.81,2026-07-22T00:00:00,RAZORPAY ee67ee49 SETTLEMENT
btx_e1d69c1018,UTRD5C47A7F0CEA,5722.74,2026-08-17T00:00:00,RAZORPAY 952d5244 SETTLEMENT
btx_a62f1df666,UTRC4FB9FFA98B8,1337.33,2026-08-14T00:00:00,RAZORPAY c2b923ca SETTLEMENT
btx_27ddcbd192,UTR51F2618ED5BF,5975.97,2026-08-11T00:00:00,RAZORPAY b4be4f47 SETTLEMENT
btx_4d8aef32c0,UTRB0B2A58C7037,2355.38,2026-07-21T00:00:00,RAZORPAY 2dbc2274 SETTLEMENT
btx_bf46253000,UTRB39BF48494F4,-6.12,2026-07-16T00:00:00,RAZORPAY f33c48e6 SETTLEMENT
btx_921e3d840f,UTR87706A692713,657.77,2026-07-22T00:00:00,RAZORPAY 78e9ba67 SETTLEMENT
btx_926842eb01,UTR5954633F3FD2,2503.05,2026-08-01T00:00:00,RAZORPAY 2d2baca2 SETTLEMENT
btx_b3f1bf1fd5,UTR5B671E527B98,1134.08,2026-07-10T00:00:00,RAZORPAY 3035abb4 SETTLEMENT
btx_d36bfe4d2b,UTR247A0B6546BF,11486.09,2026-07-15T00:00:00,RAZORPAY 263d37a8 SETTLEMENT
btx_8d0e69f025,UTRA520E4825A70,30405.46,2026-08-12T00:00:00,RAZORPAY f8396bfd SETTLEMENT
btx_f5a030af35,UTR700BDE4C0F09,11527.85,2026-07-21T00:00:00,RAZORPAY 4f53ea2a SETTLEMENT
