device_id,fingerprint,first_seen_at
dev_0001,7b2b0c162fb341ba,2026-07-22T18:26:24
dev_0003,eefdb3b2608b4e54,2025-09-24T08:18:01
dev_0004,bd5776c84a934688,2025-07-23T12:23:32
dev_0005,bff9d0b7c7cb4278,2025-05-18T05:14:21
dev_0006,f524c94ce6144d34,2026-08-02T19:22:51
dev_0007,4a33fbdc79aa4b0d,2025-02-28T20:31:08
dev_0008,148b419f833e4a71,2026-02-28T02:50:30
dev_0009,51fe105c269c4be3,2025-05-15T06:34:57
dev_0010,8f45b6913dbf4ed6,2025-04-01T07:32:11
dev_0011,b1afff25535e4bdd,2025-05-06T09:48:12
dev_0012,aa712ebb02b3494e,2026-07-12T08:56:43
dev_0013,aedffb592414445a,2025-07-17T00:40:24
dev_0014,767f4f0998b44f35,2026-03-07T00:58:14
dev_0015,4df50d9a0b8345c8,2026-03-17T10:15:07
dev_0016,a8f54ad9d63e4caa,2026-02-07T16:51:11
dev_0017,0ad4d587a874471a,2026-04-21T19:54:31
dev_0018,5018f450b54e43dd,2025-09-26T13:09:17
dev_0019,ee6bef58667648a4,2026-02-11T14:27:36
dev_0020,9cc68c5609924ca6,2026-03-18T06:08:04
dev_0021,5f8c0a28142c42bc,2026-05-22T06:24:11
dev_0022,b81b932548944043,2026-07-02T19:30:38
dev_0023,5a58fe1c476746fe,2025-06-04T12:28:15
dev_0024,4be17597d60a45ca,2024-11-22T21:50:42
dev_0025,7b9fee73a2814ab2,2025-12-17T01:00:08
dev_0026,cf18910c220c42d3,2026-02-23T14:15:44
dev_0027,3048a497810c4a06,2026-08-20T15:41:21
dev_0028,68d45bf5097e4c7c,2025-04-26T05:43:27
dev_0029,eb8f5c680aa0494c,2026-05-04T03:36:04
dev_0030,f23554236e68472e,2025-04-24T13:51:30
dev_0031,6e3acf36dd9e4513,2026-08-30T20:37:53
dev_0032,ee87008db190411f,2025-07-10T16:06:10
dev_0033,8de55fe141e94d0d,2025-11-02T06:15:30
dev_0034,e140f57409f74000,2026-05-12T12:48:02
dev_0035,6957ea8176f84ad4,2024-12-26T16:00:28
dev_0037,7946972526644f59,2024-11-20T20:14:32
dev_0038,3c0fff385b82421d,2026-01-08T08:09:55
dev_0039,7f0d8987a1544415,2025-04-15T18:41:55
dev_0040,aec25b8240994175,2024-10-11T10:01:18
dev_0041,51ee320ddc1543c8,2026-08-20T17:39:07
