fee_id,payment_id,fee_amount,tax_amount,fee_type
fee_ea5ed47a6c,pay_ac3faf06c9,91.49,16.47,gateway_fee
fee_d700de3139,pay_f9749185b1,87.08,15.67,gateway_fee
fee_86de85f883,pay_f2a96b5385,98.72,17.77,gateway_fee
fee_7f1f547887,pay_6a01bf2f26,88.86,15.99,gateway_fee
fee_36001246a7,pay_0291976f7f,90.3,16.25,gateway_fee
fee_cf21a68444,pay_9f2d9ecadf,91.23,16.42,gateway_fee
fee_4df90245a1,pay_b79961fe54,89.59,16.13,gateway_fee
fee_23e1f91ec7,pay_9bdc324076,78.44,14.12,gateway_fee
fee_f49da9849e,pay_48bd9b62a7,75.96,13.67,gateway_fee
fee_bdfed1a167,pay_077dad87e0,83.14,14.97,gateway_fee
fee_a6deb0b2ad,pay_4db5b915b3,82.28,14.81,gateway_fee
fee_78cb69b84a,pay_c498f16e09,9.19,1.65,gateway_fee
fee_44ce16c992,pay_9d0b51a312,9.43,1.7,gateway_fee
fee_d52b0f6558,pay_6ef185ed41,8.61,1.55,gateway_fee
fee_4985e17a58,pay_45fddd41fd,8.75,1.57,gateway_fee
fee_fe28922a7e,pay_cc13ca58e5,8.37,1.51,gateway_fee
fee_95eb590b3f,pay_a5992c47b1,18.29,3.29,gateway_fee
fee_6fc87923d7,pay_10a756e996,18.49,3.33,gateway_fee
fee_d33063e5f1,pay_c22cc077be,18.6,3.35,gateway_fee
fee_7eca3a147e,pay_8a8b363590,16.9,3.04,gateway_fee
fee_9ed4ba947b,pay_e3ecbe96b0,18.4,3.31,gateway_fee
fee_212c2edf6f,pay_e55a68bb2d,16.66,3.0,gateway_fee
fee_016ed6b364,pay_dd0535bcec,17.53,3.16,gateway_fee
fee_d79a9c5cb7,pay_ae31ac33d4,34.05,6.13,gateway_fee
fee_75f3a8cb83,pay_5fe89a1a02,30.71,5.53,gateway_fee
fee_25eabaf52e,pay_82d2811046,33.74,6.07,gateway_fee
fee_931d144ed5,pay_d4ac3fbb6e,32.23,5.8,gateway_fee
fee_ee2d3e3363,pay_8f1c724961,31.62,5.69,gateway_fee
fee_c6d25f16e9,pay_a1bd912ef3,31.68,5.7,gateway_fee
fee_94da2c3765,pay_aba0975df6,10.84,1.95,gateway_fee
fee_2cf5738cc1,pay_87c13cc7b7,10.54,1.9,gateway_fee
fee_9af009bac0,pay_a80c0da1f7,9.82,1.77,gateway_fee
fee_007b30170a,pay_c0e7295d36,11.26,2.03,gateway_fee
fee_acdaf3660b,pay_4d8f270a52,10.5,1.89,gateway_fee
fee_9d8b51221c,pay_54d3fd088b,10.22,1.84,gateway_fee
fee_72e8238890,pay_27f7c51797,11.04,1.99,gateway_fee
fee_317c5ba637,pay_252660f33c,10.22,1.84,gateway_fee
fee_da3caf6019,pay_8563d2749f,10.14,1.83,gateway_fee
fee_d9e992a5a4,pay_3e9c3bb269,802.77,144.5,gateway_fee
fee_7f5961f21f,pay_8270cf5f8f,13.34,2.4,gateway_fee
fee_5524d065dd,pay_b532968c0a,71.44,12.86,gateway_fee
fee_7c9929c502,pay_118a851c25,197.16,35.49,gateway_fee
fee_0388a20d0d,pay_fa4b502e5a,5.19,0.93,gateway_fee
fee_c648385cb6,pay_f0a73ba9ef,25.67,4.62,gateway_fee
fee_9b3d31bfaa,pay_219e481026,18.7,3.37,gateway_fee
fee_f19e589f86,pay_31e47c129e,371.66,66.9,gateway_fee
fee_b1f051f531,pay_18f0817a05,115.92,20.87,gateway_fee
fee_90eca4ffbc,pay_138b76f135,148.79,26.78,gateway_fee
fee_c8a591fa9b,pay_13594bd1b0,38.74,6.97,gateway_fee
fee_1a55f207fb,pay_d303abcd22,11.76,2.12,gateway_fee
fee_8170890924,pay_3f422e2ed7,103.63,18.65,gateway_fee
fee_183f4e6f5b,pay_60e61970e1,141.78,25.52,gateway_fee
fee_96e3c4a218,pay_f397582e87,630.96,113.57,gateway_fee
fee_f7e3b0c01f,pay_bb35eab940,26.25,4.72,gateway_fee
fee_6933ebf9ea,pay_0b6d6ae2ec,86.43,15.56,gateway_fee
fee_f5855d95f2,pay_5dbd2fbef7,28.22,5.08,gateway_fee
fee_57149c60e7,pay_a9800bea38,49.56,8.92,gateway_fee
fee_03ee40a1f1,pay_444ad07a31,133.89,24.1,gateway_fee
fee_4a49ee69e7,pay_4a07ce129c,910.43,163.88,gateway_fee
fee_990470d62e,pay_3f40091e4f,12.41,2.23,gateway_fee
fee_f2fb52aefc,pay_e104396bdf,2.23,0.4,gateway_fee
fee_9ca0042fdd,pay_d253fe05b3,4.5,0.81,gateway_fee
fee_5ebeb11181,pay_506e5fd94e,213.64,38.46,gateway_fee
fee_799d338d7f,pay_e6210a6d50,22.23,4.0,gateway_fee
fee_54c8d27d3d,pay_52dad162ea,5.45,0.98,gateway_fee
fee_e7d57bc216,pay_2b006fcdab,82.11,14.78,gateway_fee
