instrument_id,type,masked_identifier,customer_id
instr_5e1d12c281,card,XXXX7730,cust_0001
instr_a3b08dafcc,netbanking,XXXX8749,cust_0002
instr_70d933011c,upi,XXXX7325,cust_0003
instr_aac39f3f7b,netbanking,XXXX3492,cust_0003
instr_61669119e0,card,XXXX3068,cust_0004
instr_e74629cf80,netbanking,XXXX6439,cust_0005
instr_bf969e2cf8,upi,XXXX2633,cust_0006
instr_a94351fb16,netbanking,XXXX8486,cust_0006
instr_b8a0b47765,card,XXXX7717,cust_0007
instr_0c1bb88573,card,XXXX2225,cust_0008
instr_f43a1df778,upi,XXXX5342,cust_0008
instr_2566ea6d76,netbanking,XXXX7512,cust_0009
instr_d1cda0d663,upi,XXXX9742,cust_0010
instr_a7ab0fa14c,upi,XXXX8994,cust_0011
instr_16183de5c2,card,XXXX2121,cust_0012
instr_233d1ac1c8,card,XXXX5708,cust_0012
instr_c2ab87f3a3,netbanking,XXXX2480,cust_0013
instr_c04ae4415d,upi,XXXX2612,cust_0013
instr_bbb8959dc8,netbanking,XXXX2646,cust_0014
instr_d87f5ef8c7,upi,XXXX3725,cust_0014
instr_c6a5c01e82,card,XXXX1753,cust_0015
instr_53db26ca85,card,XXXX5806,cust_0016
instr_ca5c4d315b,upi,XXXX3385,cust_0017
instr_9ea9fdb3a5,upi,XXXX3950,cust_0018
instr_2998981fe1,card,XXXX7267,cust_0019
instr_a4a5d80aab,card,XXXX9153,cust_0020
instr_9c24af35e3,card,XXXX4804,cust_0021
instr_a6e05240cc,upi,XXXX5161,cust_0021
instr_74877d71fc,netbanking,XXXX1153,cust_0022
instr_dc8ccead1d,upi,XXXX5712,cust_0023
instr_4bb17aadba,netbanking,XXXX9955,cust_0023
instr_1de8c71c91,upi,XXXX6661,cust_0024
instr_ac257e8c64,upi,XXXX7951,cust_0025
instr_10f59c8905,netbanking,XXXX5097,cust_0025
instr_ee939a3153,upi,XXXX4263,cust_0026
instr_8f49fed2f6,upi,XXXX2747,cust_0027
instr_6db5f1445b,card,XXXX7248,cust_0027
instr_1e667573ac,netbanking,XXXX5847,cust_0028
instr_7f7f5a2466,upi,XXXX1359,cust_0029
instr_fd387238eb,netbanking,XXXX7484,cust_0029
instr_c2dd1c4f60,netbanking,XXXX1803,cust_0030
instr_140b94b98a,netbanking,XXXX9138,cust_0031
instr_571e5c6e60,upi,XXXX4770,cust_0031
instr_9240a0836d,upi,XXXX4588,cust_0032
instr_4b5cd54b8f,netbanking,XXXX5106,cust_0033
instr_a9c9d9c951,netbanking,XXXX3240,cust_0034
instr_b1abff64b1,netbanking,XXXX1645,cust_0035
instr_353d06f1a1,upi,XXXX1546,cust_0036
instr_2aa653c9e3,netbanking,XXXX3153,cust_0037
instr_862a90d151,upi,XXXX6352,cust_0038
instr_226eca6969,card,XXXX4289,cust_0039
instr_c7990671a2,card,XXXX9837,cust_0039
instr_08fb8332cf,upi,XXXX9697,cust_0040
instr_58d8bdd17b,netbanking,XXXX5465,cust_0040
instr_2b8ebf587e,upi,XXXX8894,cust_0041
instr_514e9d1610,upi,XXXX6549,cust_0041
instr_34870f6594,upi,XXXX2233,cust_0042
instr_f0c48cad6e,card,XXXX4696,cust_0042
instr_f11fa50f78,netbanking,XXXX7511,cust_0043
instr_e8662970de,netbanking,XXXX6992,cust_0043
instr_e229fa238d,upi,XXXX1228,cust_0044
instr_9d0b0e733d,card,XXXX8451,cust_0045
instr_3498961d6e,netbanking,XXXX5295,cust_0046
instr_adb3ca4de6,netbanking,XXXX7086,cust_0047
instr_e8661f3938,card,XXXX8724,cust_0048
instr_e5ad60b74d,netbanking,XXXX6374,cust_0049
instr_7893089c6c,card,XXXX2035,cust_0050
instr_c0909c6d99,netbanking,XXXX8606,cust_0050
instr_5f5728a0bb,upi,XXXX7689,cust_0051
instr_bb30409554,card,XXXX3290,cust_0051
instr_e7a459fb4b,card,XXXX5986,cust_0052
instr_1c5671e6c8,card,XXXX2592,cust_0053
instr_cdeca9883a,card,XXXX9807,cust_0053
instr_5d76c17d12,upi,XXXX7078,cust_0054
instr_53f2e1f33c,netbanking,XXXX9850,cust_0055
instr_7a9cc36dd0,netbanking,XXXX3531,cust_0056
instr_0af54c7e77,netbanking,XXXX2622,cust_0057
instr_8b389b933a,upi,XXXX7686,cust_0057
instr_dc30b296b3,upi,XXXX1536,cust_0058
instr_5a79b44839,netbanking,XXXX7070,cust_0058
instr_64e34d3287,upi,XXXX4868,cust_0059
instr_1619d173cf,card,XXXX7018,cust_0060
instr_ac5c2df367,netbanking,XXXX6876,cust_0060
instr_843a79071b,upi,XXXX4109,cust_0061
instr_8a8efdbc44,upi,XXXX2501,cust_0062
instr_e3f386e92a,netbanking,XXXX4475,cust_0062
instr_a9b30aa7aa,netbanking,XXXX1349,cust_0063
instr_39b5f4c39d,upi,XXXX4990,cust_0064
instr_deda49ffd3,netbanking,XXXX4362,cust_0065
instr_7ce2654008,card,XXXX4394,cust_0065
instr_ad6fc6c0bb,card,XXXX6383,cust_0066
instr_0281c974df,netbanking,XXXX1046,cust_0067
instr_fd103ca588,upi,XXXX3370,cust_0067
instr_239eeba312,netbanking,XXXX5106,cust_0068
instr_8d1bd39762,card,XXXX2801,cust_0068
instr_ece19bd554,card,XXXX3159,cust_0069
instr_1de904f3e3,card,XXXX6304,cust_0070
instr_6aa4a634e0,upi,XXXX1858,cust_0071
instr_0bc8278de2,upi,XXXX9619,cust_0072
