payment_id,order_id,customer_id,merchant_id,device_id,instrument_id,amount,currency,status,failure_reason,created_at,authorized_at,captured_at
pay_f63eecc054,ord_ff1f768343,cust_0144,merch_023,dev_0184,instr_8c83c4c84f,4885.61,INR,failed,insufficient_funds,2026-08-15T04:47:53,,
pay_ac3faf06c9,ord_f819f85a9e,cust_0144,merch_023,dev_0184,instr_8c83c4c84f,4574.58,INR,success,,2026-08-15T05:00:53,2026-08-15T05:00:54,2026-08-15T05:01:02
pay_f9749185b1,ord_d38597d7e9,cust_0184,merch_023,dev_0184,instr_7f3612b7c1,4354.02,INR,success,,2026-08-15T04:56:53,2026-08-15T04:56:58,2026-08-15T04:57:08
pay_f2a96b5385,ord_8d1eb6c806,cust_0002,merch_023,dev_0184,instr_a3b08dafcc,4936.17,INR,success,,2026-08-15T04:56:53,2026-08-15T04:56:56,2026-08-15T04:57:01
pay_6a01bf2f26,ord_851ddc04d1,cust_0002,merch_023,dev_0184,instr_a3b08dafcc,4442.96,INR,success,,2026-08-15T04:56:53,2026-08-15T04:56:57,2026-08-15T04:57:01
pay_c7141196c8,ord_06e79db0cf,cust_0144,merch_023,dev_0184,instr_8c83c4c84f,4580.7,INR,failed,timeout,2026-08-15T04:59:53,,
pay_0291976f7f,ord_64f817b5ad,cust_0184,merch_023,dev_0184,instr_7f3612b7c1,4514.96,INR,success,,2026-08-15T05:07:53,2026-08-15T05:07:57,2026-08-15T05:08:03
pay_9f2d9ecadf,ord_ab41e0b154,cust_0144,merch_023,dev_0184,instr_8c83c4c84f,4561.37,INR,success,,2026-08-15T05:10:53,2026-08-15T05:10:55,2026-08-15T05:10:58
pay_b79961fe54,ord_80b94854ed,cust_0002,merch_023,dev_0184,instr_a3b08dafcc,4479.45,INR,success,,2026-08-15T05:21:53,2026-08-15T05:21:55,2026-08-15T05:22:01
pay_9bdc324076,ord_9705167166,cust_0147,merch_018,dev_0273,instr_f2eaa2a3e7,3921.75,INR,success,,2026-08-21T23:03:43,2026-08-21T23:03:46,2026-08-21T23:03:49
pay_b9506fe143,ord_b240587814,cust_0070,merch_018,dev_0273,instr_1de904f3e3,4224.0,INR,failed,insufficient_funds,2026-08-21T23:03:43,,
pay_e7a22834d1,ord_03c26149c0,cust_0036,merch_018,dev_0273,instr_353d06f1a1,4095.8,INR,failed,insufficient_funds,2026-08-21T22:36:43,,
pay_48bd9b62a7,ord_82568ef43d,cust_0070,merch_018,dev_0273,instr_1de904f3e3,3798.13,INR,success,,2026-08-21T22:41:43,2026-08-21T22:41:47,2026-08-21T22:41:53
pay_077dad87e0,ord_3eb931bd40,cust_0036,merch_018,dev_0273,instr_353d06f1a1,4157.1,INR,success,,2026-08-21T23:14:43,2026-08-21T23:14:44,2026-08-21T23:14:45
pay_4db5b915b3,ord_5a43749052,cust_0397,merch_018,dev_0273,instr_11bbd3295a,4113.88,INR,success,,2026-08-21T22:32:43,2026-08-21T22:32:46,2026-08-21T22:32:55
pay_5738800427,ord_290bdf1838,cust_0147,merch_018,dev_0273,instr_f2eaa2a3e7,3764.95,INR,failed,risk_block,2026-08-21T23:16:43,,
pay_c498f16e09,ord_dca13cb9f6,cust_0201,merch_020,dev_0292,instr_7360cb14a9,459.42,INR,success,,2026-08-08T04:29:49,2026-08-08T04:29:53,2026-08-08T04:30:01
pay_9d0b51a312,ord_302c32a573,cust_0099,merch_020,dev_0292,instr_48dd7df83d,471.67,INR,success,,2026-08-08T04:26:49,2026-08-08T04:26:50,2026-08-08T04:26:51
