settlement_id,payment_id
sett_bac5b4c642,pay_ac3faf06c9
sett_bac5b4c642,pay_f9749185b1
sett_bac5b4c642,pay_f2a96b5385
sett_bac5b4c642,pay_6a01bf2f26
sett_bac5b4c642,pay_0291976f7f
sett_bac5b4c642,pay_9f2d9ecadf
sett_bac5b4c642,pay_b79961fe54
sett_64ffab5645,pay_9bdc324076
sett_64ffab5645,pay_48bd9b62a7
sett_64ffab5645,pay_077dad87e0
sett_64ffab5645,pay_4db5b915b3
sett_dcc6105ab2,pay_c498f16e09
sett_dcc6105ab2,pay_9d0b51a312
sett_dcc6105ab2,pay_6ef185ed41
sett_dcc6105ab2,pay_45fddd41fd
sett_dcc6105ab2,pay_cc13ca58e5
sett_9c1924542a,pay_a5992c47b1
sett_9c1924542a,pay_10a756e996
sett_9c1924542a,pay_c22cc077be
sett_9c1924542a,pay_8a8b363590
sett_9c1924542a,pay_e3ecbe96b0
sett_9c1924542a,pay_e55a68bb2d
sett_9c1924542a,pay_dd0535bcec
sett_eb79d6acba,pay_ae31ac33d4
sett_eb79d6acba,pay_5fe89a1a02
sett_eb79d6acba,pay_82d2811046
sett_eb79d6acba,pay_d4ac3fbb6e
sett_eb79d6acba,pay_8f1c724961
sett_eb79d6acba,pay_a1bd912ef3
sett_eb79d6acba,pay_a588cbd2f2
sett_eb79d6acba,pay_b7a1ed184b
sett_454961fecd,pay_aba0975df6
sett_454961fecd,pay_87c13cc7b7
sett_454961fecd,pay_a80c0da1f7
sett_454961fecd,pay_c0e7295d36
sett_454961fecd,pay_4d8f270a52
sett_454961fecd,pay_54d3fd088b
sett_454961fecd,pay_27f7c51797
sett_454961fecd,pay_252660f33c
sett_454961fecd,pay_8563d2749f
sett_705ae64c5a,pay_3e9c3bb269
sett_705ae64c5a,pay_44e32fa9e5
sett_5ebacb3627,pay_8270cf5f8f
sett_005760c62e,pay_b532968c0a
sett_0c20f81711,pay_118a851c25
sett_0c20f81711,pay_83dfd8ca44
sett_0b8091ffc2,pay_fa4b502e5a
sett_14957842bc,pay_f0a73ba9ef
sett_0f7797b946,pay_31e47c129e
sett_0f7797b946,pay_72fd5d74bb
sett_94c2e0aab4,pay_18f0817a05
sett_94c2e0aab4,pay_adc1b5d0be
sett_958fa60709,pay_138b76f135
sett_b05192c61d,pay_13594bd1b0
sett_8f6394c4bc,pay_d303abcd22
sett_1ddf7adb3f,pay_3f422e2ed7
sett_49aef2d66b,pay_60e61970e1
sett_494cc35014,pay_f397582e87
sett_f456ef0855,pay_bb35eab940
sett_f456ef0855,pay_aca347ed9e
sett_f456ef0855,pay_197b08ecc0
sett_6eba3291d2,pay_0b6d6ae2ec
sett_6eba3291d2,pay_8f0e93597c
sett_6eba3291d2,pay_d0c702008d
sett_9f9e1d9d69,pay_5dbd2fbef7
sett_9f9e1d9d69,pay_d169cd82e0
sett_a82ab42547,pay_a9800bea38
sett_a82ab42547,pay_7785c30ee3
sett_53f40b1f89,pay_444ad07a31
sett_4d15a765f7,pay_4a07ce129c
sett_b2a9f39f18,pay_3f40091e4f
sett_b2a9f39f18,pay_bbb5f2ccb1
sett_87372a519f,pay_e104396bdf
sett_43ce38656e,pay_d253fe05b3
sett_2fa1818ab1,pay_506e5fd94e
sett_2fa1818ab1,pay_0d6238fc76
sett_a4873b64ca,pay_e6210a6d50
sett_a4873b64ca,pay_4e0bccd09c
sett_a4873b64ca,pay_ebafe7f365
sett_a4873b64ca,pay_94443ac50f
sett_da924a8b99,pay_52dad162ea
sett_da924a8b99,pay_513d5d7d2d
sett_da924a8b99,pay_efc0d63595
sett_4ebbca3a08,pay_2b006fcdab
sett_e98d40475b,pay_e8cfb14e85
sett_d7232dd72c,pay_46bb632827
sett_d5476c9774,pay_e856bf77a9
sett_fe66c02365,pay_7f4b313a2b
sett_67f164d83c,pay_162b10d395
sett_8d9df56ffe,pay_f8009ca2fe
sett_f8af62a570,pay_eb67f62bad
sett_069d9c7f26,pay_a43e3f8d75
sett_069d9c7f26,pay_a43e3f8d75
sett_37219b582b,pay_2928ff2f84
sett_1e76f1d0f0,pay_c3d7d29f21
sett_1429000de5,pay_b1b0bab202
sett_b46ab605a7,pay_5c1aa97558
sett_65288942ea,pay_f82d944ded
sett_78068c8a3b,pay_040768c720
sett_15b1b123be,pay_6ed2f0a555
sett_15b1b123be,pay_eeb2f7b8e4
sett_0ad47b9418,pay_f6686cd9c4
sett_0ad47b9418,pay_6320d7953e
sett_0ad47b9418,pay_5b071e9caa
sett_c4b7863b92,pay_4a9f2d42c2
sett_9f57f01b82,pay_e68ffaa35f
sett_9f57f01b82,pay_793838d3fc
sett_9f57f01b82,pay_e8cf2dfc55
sett_d486c0352d,pay_57e03ab864
sett_e360900dfe,pay_616b4d4148
sett_892c2bd8a0,pay_76dbd0fb0c
sett_892c2bd8a0,pay_439f756979
sett_ccca9aeae2,pay_d04274d3e4
sett_da6b6a8985,pay_010edef158
sett_41f5c37f45,pay_7afc9999f1
sett_41f5c37f45,pay_377d577f83
sett_f13f3e591d,pay_22be6e427c
sett_f13f3e591d,pay_ccb8045242
sett_9cefab750f,pay_3a1916e1c9
sett_9cefab750f,pay_a8fc7aa623
sett_9cefab750f,pay_0f877ec0b0
sett_dabaadf1e2,pay_73af198dfe
sett_dabaadf1e2,pay_dffd59420a
sett_a1aadedbc5,pay_4826ea0594
sett_dc6f4db7ce,pay_b734627cec
sett_be2104ca76,pay_b19923f580
sett_0621a5c455,pay_d8e878678f
sett_0621a5c455,pay_d8e878678f
sett_085d8e5036,pay_3d59c4f3d1
sett_085d8e5036,pay_3d59c4f3d1
sett_085d8e5036,pay_8319e2330a
sett_085d8e5036,pay_8a1f6b9b58
sett_c411272df2,pay_2714a19014
sett_d7f1078bb9,pay_b2d3808616
sett_967e5e9c5a,pay_beb37b198c
sett_91e9ed45e5,pay_6c9fec68b8
sett_a5f0ea4772,pay_6bc1db72ce
sett_dfa8a6fa19,pay_9d4edaac54
sett_7b0db31503,pay_fc4ae9853a
sett_f44f54a13f,pay_31aeb3586e
sett_8a3b0296f3,pay_81120a6841
sett_8a3b0296f3,pay_a506e18716
sett_1a6b55bf59,pay_6aaa9fbd29
sett_4396a505c7,pay_8d9f96d7d0
sett_4396a505c7,pay_e5b21164dc
sett_fb6c59fbda,pay_2bb294e160
sett_1aad053b3a,pay_db5f7e6007
sett_1aad053b3a,pay_db5f7e6007
sett_b1a1b1711c,pay_ccdd7e875d
sett_448dddde80,pay_c3591db20d
sett_448dddde80,pay_8d61d773c8
sett_01f200c38c,pay_792ca44da7
sett_01f200c38c,pay_792ca44da7
sett_ffa237eecc,pay_e2b7da42f1
sett_ffa237eecc,pay_21ef1f3375
sett_ffa237eecc,pay_4d50b4ef63
sett_2f1fc6f109,pay_84ad1d1aa8
sett_b09230518c,pay_da0e22a20f
sett_4860dfacc2,pay_e689c9871c
sett_f74ec773da,pay_ab81681947
sett_f74ec773da,pay_8f0b510123
sett_f74ec773da,pay_070ac0e14a
sett_ac9e276c05,pay_96d9e9c787
sett_699fd7a04d,pay_d8ecccd4e7
sett_699fd7a04d,pay_e6fb4a277e
sett_cd31ff0f93,pay_9909510664
sett_e12b36335e,pay_3bf13fe5ed
sett_e12b36335e,pay_7ff4999059
sett_b10a8c65f5,pay_52144d5749
sett_b10a8c65f5,pay_773ef4171c
sett_15dc29bc65,pay_2fc8a56689
sett_222e565845,pay_d282f68cf2
sett_007fbc1252,pay_2e7ddf0874
sett_007fbc1252,pay_5f492ab727
sett_d469b54aec,pay_a585543422
sett_d469b54aec,pay_0215879d2b
sett_a117c9f253,pay_507e48763d
sett_a117c9f253,pay_287795b09d
sett_9df4957bf1,pay_2a2dfc1c9a
sett_7f5c1ad5a0,pay_1d39fa2524
sett_24e58839dd,pay_c444117618
sett_24e58839dd,pay_8292d43d29
sett_24e58839dd,pay_453ddacdf0
sett_f8033dfbbd,pay_67bdfbb7dc
sett_9a0f3d0d8b,pay_ba71ac4d69
sett_9a0f3d0d8b,pay_d1e3ae2a1f
sett_8723016d32,pay_223f1248c4
sett_8723016d32,pay_d896c3fccf
sett_8723016d32,pay_a22a51ee7f
sett_dfbede2c5f,pay_ba76494aae
