settlement_id,merchant_id,settlement_date,gross_amount,fee_amount,tax_amount,net_amount
sett_bac5b4c642,merch_023,2026-08-16T00:00:00,31863.51,637.27,114.7,26630.56
sett_64ffab5645,merch_018,2026-08-22T00:00:00,15990.86,319.82,57.57,15613.47
sett_dcc6105ab2,merch_020,2026-08-09T00:00:00,2217.62,44.35,7.98,2165.29
sett_9c1924542a,merch_019,2026-08-08T00:00:00,6243.17,124.87,22.48,6095.82
sett_eb79d6acba,merch_014,2026-08-20T00:00:00,21089.46,421.78,75.92,18904.58
sett_454961fecd,merch_009,2026-08-28T00:00:00,4729.26,94.58,17.04,4617.64
sett_705ae64c5a,merch_006,2026-08-24T00:00:00,40723.99,814.48,146.61,39762.9
sett_5ebacb3627,merch_015,2026-07-23T00:00:00,667.07,13.34,2.4,651.33
sett_005760c62e,merch_024,2026-08-31T00:00:00,3571.91,71.44,12.86,3487.61
sett_0c20f81711,merch_025,2026-08-30T00:00:00,10782.75,215.65,38.82,10528.28
sett_0b8091ffc2,merch_011,2026-08-22T00:00:00,259.54,5.19,0.93,253.42
sett_14957842bc,merch_004,2026-09-03T00:00:00,1283.72,25.67,4.62,1253.43
sett_0f7797b946,merch_021,2026-07-21T00:00:00,28769.08,575.38,103.57,28090.13
sett_94c2e0aab4,merch_017,2026-08-22T00:00:00,8605.74,172.12,30.99,8402.63
sett_958fa60709,merch_006,2026-08-22T00:00:00,7439.33,148.79,26.78,7263.76
sett_b05192c61d,merch_018,2026-08-17T00:00:00,1936.91,38.74,6.97,1891.2
sett_8f6394c4bc,merch_002,2026-07-13T00:00:00,588.01,11.76,2.12,574.13
sett_1ddf7adb3f,merch_024,2026-09-02T00:00:00,5181.62,103.63,18.65,5059.34
sett_49aef2d66b,merch_002,2026-09-01T00:00:00,7088.95,141.78,25.52,6921.65
sett_494cc35014,merch_009,2026-07-14T00:00:00,31547.77,630.96,113.57,30803.24
sett_f456ef0855,merch_021,2026-07-29T00:00:00,42514.89,850.3,153.05,41511.54
sett_6eba3291d2,merch_005,2026-08-14T00:00:00,19458.69,389.18,70.06,14677.92
sett_9f9e1d9d69,merch_024,2026-08-10T00:00:00,1886.89,37.74,6.79,539.63
sett_a82ab42547,merch_025,2026-08-19T00:00:00,2762.5,55.25,9.94,1191.7
sett_53f40b1f89,merch_014,2026-08-05T00:00:00,6694.51,133.89,24.1,6536.52
sett_4d15a765f7,merch_023,2026-08-03T00:00:00,45521.62,910.43,163.88,44447.31
sett_b2a9f39f18,merch_012,2026-07-21T00:00:00,1331.3,26.62,4.79,1299.89
sett_87372a519f,merch_022,2026-08-07T00:00:00,111.29,2.23,0.4,108.66
sett_43ce38656e,merch_003,2026-07-15T00:00:00,225.06,4.5,0.81,219.75
sett_2fa1818ab1,merch_025,2026-07-19T00:00:00,10946.93,218.93,39.41,6.37
sett_a4873b64ca,merch_006,2026-07-20T00:00:00,35952.02,719.04,129.42,35103.56
sett_da924a8b99,merch_004,2026-08-11T00:00:00,1292.6,25.86,4.65,1262.09
sett_4ebbca3a08,merch_009,2026-09-01T00:00:00,4105.75,82.11,14.78,4008.86
sett_e98d40475b,merch_017,2026-08-12T00:00:00,3480.79,69.62,12.53,3398.64
sett_d7232dd72c,merch_004,2026-07-12T00:00:00,993.32,19.87,3.58,969.87
sett_d5476c9774,merch_019,2026-07-22T00:00:00,864.9,17.3,3.11,-20.41
sett_fe66c02365,merch_003,2026-07-11T00:00:00,402.04,8.04,1.45,392.55
sett_67f164d83c,merch_023,2026-08-26T00:00:00,996.75,19.93,3.59,973.23
sett_8d9df56ffe,merch_007,2026-08-06T00:00:00,17904.33,358.09,64.46,17481.78
sett_f8af62a570,merch_004,2026-08-16T00:00:00,1808.24,36.16,6.51,1765.57
sett_069d9c7f26,merch_003,2026-07-10T00:00:00,815.09,16.3,2.93,795.86
sett_37219b582b,merch_009,2026-07-16T00:00:00,10889.82,217.8,39.2,10632.82
sett_1e76f1d0f0,merch_008,2026-07-20T00:00:00,609.57,12.19,2.19,595.19
sett_1429000de5,merch_024,2026-07-29T00:00:00,3857.41,77.15,13.89,3766.37
sett_b46ab605a7,merch_019,2026-07-10T00:00:00,802.86,16.06,2.89,783.91
sett_65288942ea,merch_007,2026-07-29T00:00:00,1198.31,23.97,4.31,1170.03
sett_78068c8a3b,merch_023,2026-07-05T00:00:00,11485.4,229.71,41.35,11214.34
sett_15b1b123be,merch_017,2026-07-11T00:00:00,29401.94,588.04,105.85,28708.05
sett_0ad47b9418,merch_017,2026-08-19T00:00:00,3408.08,68.16,12.26,2461.3
sett_c4b7863b92,merch_013,2026-08-16T00:00:00,894.95,17.9,3.22,873.83
sett_9f57f01b82,merch_023,2026-08-18T00:00:00,7925.21,158.5,28.53,7738.18
sett_d486c0352d,merch_025,2026-07-21T00:00:00,3131.81,62.64,11.28,3057.89
sett_e360900dfe,merch_012,2026-08-04T00:00:00,19890.18,397.8,71.6,13543.08
sett_892c2bd8a0,merch_022,2026-09-02T00:00:00,1915.02,38.3,6.89,1869.83
sett_ccca9aeae2,merch_023,2026-08-24T00:00:00,598.04,11.96,2.15,583.93
sett_da6b6a8985,merch_004,2026-07-27T00:00:00,1262.52,25.25,4.54,1232.73
sett_41f5c37f45,merch_021,2026-08-31T00:00:00,17357.49,347.15,62.49,16947.85
sett_f13f3e591d,merch_007,2026-07-18T00:00:00,29349.25,586.99,105.66,28656.6
sett_9cefab750f,merch_015,2026-08-16T00:00:00,2550.13,51.0,9.18,2489.95
sett_dabaadf1e2,merch_012,2026-08-01T00:00:00,8096.62,161.93,29.14,7905.55
sett_a1aadedbc5,merch_014,2026-08-25T00:00:00,1338.51,26.77,4.82,1306.92
sett_dc6f4db7ce,merch_023,2026-08-21T00:00:00,862.32,17.25,3.1,841.97
sett_be2104ca76,merch_009,2026-07-26T00:00:00,546.43,10.93,1.97,533.53
sett_0621a5c455,merch_018,2026-07-10T00:00:00,11131.22,222.62,40.07,10868.53
sett_085d8e5036,merch_006,2026-08-09T00:00:00,19196.55,383.92,69.11,18743.52
sett_c411272df2,merch_005,2026-08-22T00:00:00,3476.45,69.53,12.52,1502.28
sett_d7f1078bb9,merch_008,2026-08-20T00:00:00,1709.24,34.18,6.15,1668.91
sett_967e5e9c5a,merch_025,2026-08-09T00:00:00,836.81,16.74,3.01,817.06
sett_91e9ed45e5,merch_011,2026-07-20T00:00:00,291.03,5.82,1.05,284.16
sett_a5f0ea4772,merch_023,2026-09-03T00:00:00,38355.3,767.11,138.08,37450.11
sett_dfa8a6fa19,merch_010,2026-07-22T00:00:00,4592.43,91.85,16.53,4484.05
sett_7b0db31503,merch_019,2026-09-02T00:00:00,943.34,18.87,3.4,921.07
sett_f44f54a13f,merch_011,2026-08-05T00:00:00,3998.96,79.98,14.4,-94.38
sett_8a3b0296f3,merch_001,2026-07-12T00:00:00,1881.69,37.64,6.78,1837.27
sett_1a6b55bf59,merch_013,2026-07-21T00:00:00,687.51,13.75,2.48,671.28
sett_4396a505c7,merch_013,2026-08-30T00:00:00,920.73,18.42,3.32,127.71
sett_fb6c59fbda,merch_003,2026-07-14T00:00:00,1357.37,27.15,4.89,1325.33
sett_1aad053b3a,merch_001,2026-09-02T00:00:00,1015.09,20.3,3.65,991.14
sett_b1a1b1711c,merch_007,2026-08-26T00:00:00,875.76,17.52,3.15,855.09
sett_448dddde80,merch_010,2026-07-16T00:00:00,31066.99,621.34,111.84,30333.81
sett_01f200c38c,merch_009,2026-07-23T00:00:00,861.78,17.24,3.1,841.44
sett_ffa237eecc,merch_002,2026-07-27T00:00:00,3048.62,60.97,10.97,2976.68
sett_2f1fc6f109,merch_022,2026-08-31T00:00:00,858.03,17.16,3.09,-20.25
sett_b09230518c,merch_018,2026-08-30T00:00:00,11331.8,226.64,40.8,11064.36
sett_4860dfacc2,merch_006,2026-07-17T00:00:00,42721.51,854.43,153.8,41713.28
sett_f74ec773da,merch_005,2026-07-12T00:00:00,8903.27,178.07,32.05,8693.15
sett_ac9e276c05,merch_019,2026-07-15T00:00:00,11630.73,232.61,41.87,11356.25
sett_699fd7a04d,merch_020,2026-07-09T00:00:00,13782.98,275.66,49.62,13457.7
sett_cd31ff0f93,merch_016,2026-07-27T00:00:00,8690.95,173.82,31.29,-205.11
sett_e12b36335e,merch_024,2026-07-23T00:00:00,2934.69,58.7,10.56,2865.43
sett_b10a8c65f5,merch_005,2026-08-29T00:00:00,8174.41,163.49,29.43,976.48
sett_15dc29bc65,merch_002,2026-07-24T00:00:00,1385.24,27.7,4.99,1352.55
sett_222e565845,merch_021,2026-07-28T00:00:00,37884.63,757.69,136.38,-894.07
sett_007fbc1252,merch_019,2026-07-30T00:00:00,6282.74,125.65,22.61,6134.48
sett_d469b54aec,merch_019,2026-07-26T00:00:00,10783.28,215.67,38.82,10528.79
sett_a117c9f253,merch_001,2026-07-06T00:00:00,12059.88,241.2,43.42,11775.26
sett_9df4957bf1,merch_008,2026-08-04T00:00:00,1227.12,24.54,4.42,1198.16
sett_7f5c1ad5a0,merch_009,2026-08-25T00:00:00,523.0,10.46,1.88,510.66
sett_24e58839dd,merch_009,2026-07-30T00:00:00,19746.69,394.93,71.08,19280.68
sett_f8033dfbbd,merch_020,2026-07-19T00:00:00,547.42,10.95,1.97,534.5
sett_9a0f3d0d8b,merch_016,2026-08-23T00:00:00,47535.5,950.71,171.13,46413.66
sett_8723016d32,merch_004,2026-08-28T00:00:00,7934.55,158.69,28.56,6970.08
sett_dfbede2c5f,merch_012,2026-08-15T00:00:00,1320.01,26.4,4.75,1288.86
sett_3b0ee502aa,merch_004,2026-08-31T00:00:00,2254.95,45.1,8.12,2201.73
sett_f528e08a5c,merch_019,2026-07-19T00:00:00,11859.82,237.2,42.7,11579.92
sett_3e48450c73,merch_011,2026-07-11T00:00:00,4189.13,83.78,15.08,4090.27
sett_d05e647490,merch_025,2026-07-14T00:00:00,1199.3,23.99,4.32,1170.99
sett_7a56ca201a,merch_016,2026-07-24T00:00:00,152.82,3.06,0.55,149.21
sett_160b26057f,merch_001,2026-07-29T00:00:00,8080.21,161.6,29.09,7889.52
sett_27ee67ee49,merch_004,2026-07-21T00:00:00,924.14,18.48,3.33,-21.81
sett_a8952d5244,merch_024,2026-08-16T00:00:00,6040.75,120.82,21.74,5898.19
sett_5ec2b923ca,merch_007,2026-08-13T00:00:00,1369.65,27.39,4.93,1337.33
sett_07b4be4f47,merch_001,2026-08-10T00:00:00,6120.42,122.41,22.04,5975.97
sett_da2dbc2274,merch_013,2026-07-20T00:00:00,2412.31,48.25,8.68,2355.38
sett_56f33c48e6,merch_020,2026-07-15T00:00:00,259.62,5.19,0.93,253.5
sett_f578e9ba67,merch_007,2026-07-21T00:00:00,673.66,13.47,2.42,657.77
sett_532d2baca2,merch_003,2026-07-30T00:00:00,2563.55,51.27,9.23,2503.05
sett_9d3035abb4,merch_004,2026-07-09T00:00:00,1161.49,23.23,4.18,1134.08
sett_0d263d37a8,merch_015,2026-07-14T00:00:00,22195.76,443.92,79.91,11486.09
sett_b0f8396bfd,merch_013,2026-08-11T00:00:00,31140.38,622.81,112.11,30405.46
sett_bd4f53ea2a,merch_023,2026-07-20T00:00:00,11806.48,236.13,42.5,11527.85
sett_f287748cc6,merch_022,2026-08-09T00:00:00,955.85,19.12,3.44,933.29
sett_1e62bbfb9b,merch_004,2026-07-11T00:00:00,6127.22,122.54,22.06,5982.62
sett_e7e3d0efad,merch_024,2026-08-07T00:00:00,14427.14,288.54,51.94,14086.66
sett_ed7e00f434,merch_016,2026-07-12T00:00:00,22356.99,447.14,80.48,21829.37
sett_08530d47de,merch_015,2026-08-05T00:00:00,31776.78,635.54,114.39,31026.85
sett_2c8cb67187,merch_014,2026-07-14T00:00:00,868.74,17.37,3.13,848.24
sett_bc73b5df57,merch_022,2026-07-10T00:00:00,577.2,11.54,2.08,563.58
sett_cbf2a2fbec,merch_022,2026-08-18T00:00:00,13851.49,277.03,49.87,13524.59
sett_9946d02289,merch_001,2026-08-16T00:00:00,168.0,3.36,0.6,164.04
sett_410aedec84,merch_024,2026-09-01T00:00:00,2930.19,58.61,10.54,2861.04
sett_7d82674399,merch_023,2026-08-07T00:00:00,4372.76,87.46,15.74,4269.56
sett_e5d02cefa4,merch_020,2026-08-03T00:00:00,20119.17,402.38,72.43,19644.36
sett_38632ffbf0,merch_007,2026-08-08T00:00:00,4551.08,91.02,16.38,4443.68
sett_2ff466a934,merch_023,2026-08-08T00:00:00,8958.7,179.17,32.25,8747.28
sett_fde52ab20f,merch_007,2026-08-18T00:00:00,1839.22,36.78,6.62,1795.82
sett_f8a8a40d24,merch_021,2026-08-02T00:00:00,3994.75,79.89,14.38,3900.48
sett_4079f0e4a5,merch_011,2026-07-29T00:00:00,14044.48,280.89,50.56,13713.03
sett_97fbd8c2f3,merch_023,2026-08-31T00:00:00,5361.28,107.23,19.3,5234.75
sett_41ac257001,merch_006,2026-07-22T00:00:00,16538.46,330.78,59.54,16148.14
sett_556e0fd542,merch_011,2026-09-03T00:00:00,9623.44,192.47,34.64,9396.33
sett_fe948d9b8a,merch_003,2026-07-26T00:00:00,34722.48,694.45,125.0,33903.03
sett_d60f2f6778,merch_018,2026-07-26T00:00:00,228.72,4.57,0.82,223.33
sett_6242b56498,merch_021,2026-07-09T00:00:00,8021.88,160.44,28.88,7832.56
sett_0e249688cb,merch_018,2026-08-24T00:00:00,1759.41,35.19,6.33,1717.89
sett_a8400bf292,merch_002,2026-08-05T00:00:00,1012.14,20.24,3.64,233.17
sett_a1804cb9a9,merch_001,2026-07-26T00:00:00,11186.05,223.72,40.27,10922.06
sett_c3d2425926,merch_003,2026-07-29T00:00:00,349.19,6.98,1.26,340.95
sett_8f111e0955,merch_013,2026-08-05T00:00:00,666.23,13.32,2.4,650.51
sett_b5b20ce613,merch_004,2026-09-02T00:00:00,42763.02,855.26,153.95,41753.81
sett_ca802c89a3,merch_022,2026-07-26T00:00:00,318.85,6.38,1.15,311.32
sett_7a5950f138,merch_005,2026-08-10T00:00:00,1485.41,29.71,5.35,1450.35
sett_3522d339a3,merch_002,2026-08-26T00:00:00,935.32,18.71,3.37,913.24
sett_f8a41a90db,merch_021,2026-07-23T00:00:00,2995.78,59.92,10.79,2925.07
sett_73fef49973,merch_006,2026-07-10T00:00:00,7456.57,149.13,26.84,7280.6
sett_641d4380b4,merch_003,2026-08-30T00:00:00,376.38,7.53,1.36,367.49
sett_b4ecc5e5fb,merch_021,2026-07-12T00:00:00,499.19,9.98,1.8,487.41
sett_62596958cf,merch_022,2026-08-29T00:00:00,917.84,18.36,3.3,896.18
sett_c31061e07e,merch_011,2026-08-16T00:00:00,410.14,8.2,1.48,400.46
sett_91fb7322a4,merch_015,2026-08-21T00:00:00,7634.51,152.69,27.48,7454.34
sett_da948c1e7c,merch_019,2026-07-09T00:00:00,926.05,18.52,3.33,710.71
sett_0669d133e7,merch_013,2026-07-28T00:00:00,114.83,2.3,0.41,112.12
sett_8237b59447,merch_006,2026-07-19T00:00:00,7710.07,154.2,27.76,7528.11
sett_6ec664d535,merch_016,2026-07-28T00:00:00,470.1,9.4,1.69,459.01
sett_cffa1a907a,merch_009,2026-08-27T00:00:00,4264.82,85.3,15.35,-100.65
sett_d645277949,merch_012,2026-08-21T00:00:00,5122.84,102.46,18.44,5001.94
sett_0c667e8e55,merch_008,2026-07-26T00:00:00,1000.87,20.02,3.6,977.25
sett_1d58e93ecb,merch_004,2026-08-06T00:00:00,5853.44,117.07,21.07,5715.3
sett_0162d122aa,merch_017,2026-08-29T00:00:00,34775.59,695.51,125.19,33954.89
sett_3247f592f7,merch_019,2026-08-24T00:00:00,3409.78,68.2,12.28,3329.3
sett_9ff891e7f7,merch_022,2026-07-14T00:00:00,12703.24,254.07,45.73,12403.44
sett_b1d71b0016,merch_018,2026-08-21T00:00:00,264.52,5.29,0.95,258.28
